;;;1;2;3;4;5;6;7;8;9
13;ORC;sg;Fred ;sourit;à l' enfant ;que  ;le curé ;bénit;lui;joyeusement; après chaque messe .
14;ORC;sg;Lise ;parle ;à la femme ;que  ;le régime ;amincit;elle;étonnamment;facilement .
15;ORC;sg;Gilles ;parle ;à la travailleuse ;que  ;l' effort ;fatigue;elle;inexorablement;avec le temps .
16;ORC;sg;Jacques ;pense ;à la patronne ;que  ;le stress ;vieillit;elle;prématurément;malgré les anxiolytiques .
17;ORC;sg;Patrick ;pense;à la famille;que;la fête;réunit;elle;chaque année;pendant dix jours
18;ORC;sg;Louise ;sourit;à la gamine;que;la sorcière;inquiète;elle;volontairement;pour Halloween .
19;ORC;pl;Aude ;plaît;aux gymnastes;que;le massage;détend;elles;toujours;après l' entraînement .
20;ORC;pl;Luc ;pense;aux fillettes;que;le dragueur;séduit;elles;inlassablement;depuis une heure .
21;ORC;pl;Anne ;parle;aux actrices;que;le spectateur;applaudit;elles;frénétiquement;à chaque représentation .
22;ORC;pl;Jeanne ;parle;aux voisines;que;la sortie;excite;elles;rarement;en fin d' année .
23;ORC;pl;Jean ;téléphone;aux avocats;que;la déception;aigrit;eux;inévitablement;après le procès .
24;ORC;pl;Roland ;sourit;aux canailles;que;le policier;poursuit;eux;secrètement;depuis un mois .
1;ORC;pl;Jules ;sourit;aux étudiants;que;l' orateur;endort;eux;sérieusement;depuis le début .
2;ORC;pl;Paul ;pense;aux électeurs;que;le politicien;déçoit;elles;franchement;depuis les élections .
3;ORC;pl;Sébastien ;sourit;aux patientes;que;le calmant;affaiblit;elles;progressivement;depuis un an .
4;ORC;pl;Jérôme ;parle;aux prisonnières;que;le gardien;sort;elles;parfois;dans la cour .
5;ORC;pl;Charles ;sourit;aux victimes;que;le traitement;guérit;elles;lentement ;mais sûrement .
6;ORC;pl;Benjamin ;pense;aux adolescents;que;l' éducateur;bat;eux;souvent;depuis quelques années .
7;ORC;sg;Bernard ;songe;à la joueuse;que;le casino;ruine;elle;malheureusement;bien trop vite .
8;ORC;sg;Laure ;sourit;à la bergère;que;le mouton;suit;elle;stupidement;après la tonte .
9;ORC;sg;Pierre ;téléphone;à la candidate;que;le jury;attend;elle;fermement;après l' audition .
10;ORC;sg;Marc ;pense;à la population;que;le malheur;unit;elle;fatalement;après le drame .
11;ORC;sg;Claire; plaît;  à l' ouvrier ; que ;la cheminée  ;noircit ;lui; énormément  ;depuis les travaux .
12;ORC;sg;Patricia ;parle; à la cliente ;que ;le chapeau; grandit;elle; beaucoup; à cause des plumes .
13;ORC;pl;Fred ;sourit; aux enfants; que  ;le curé; bénit ;eux;joyeusement; après chaque messe .
14;ORC;pl;Lise; parle; aux femmes ;que ; le régime ;amincit ;elles;étonnamment; facilement .
15;ORC;pl;Gilles ;parle ;aux travailleuses; que;  l' effort ;fatigue ;elles;inexorablement; avec le temps .
16;ORC;pl;Jacques ;pense ;aux patronnes ;que  ;le stress ;vieillit ;elles;prématurément; malgré les anxiolytiques .
17;ORC;pl;Patrick ;pense; aux familles; que;  la fête; réunit;elles; chaque année; pendant dix jours .
18;ORC;pl;Louise; sourit; aux gamines; que;  la sorcière; inquiète;elles; volontairement; pour Halloween .
19;ORC;sg;Aude; plaît; à la gymnaste; que;  le massage; détend;elle; toujours; après l' entraînement .
20;ORC;sg;Luc; pense; à la fillette; que;  le dragueur; séduit;elle; inlassablement; depuis une heure .
21;ORC;sg;Anne ;parle; à l' actrice; que;  le spectateur; applaudit;elle; frénétiquement; à chaque représentation .
22;ORC;sg;Jeanne; parle; à la voisine; que;  la sortie; excite;elle; rarement; en fin d' année .
23;ORC;sg;Jean ;téléphone; à l' avocat; que ; la déception ;aigrit;lui; inévitablement; après le procès .
24;ORC;sg;Roland ;sourit; à la canaille; que ; le policier ;poursuit;lui; secrètement; depuis un mois .
1;ORC;sg;Jules ;sourit; à l' étudiant; que;  l' orateur; endort;lui; sérieusement; depuis le début .
2;ORC;sg;Paul ;pense; à l' électeur ;que ; le politicien ;déçoit;lui; franchement; depuis les élections .
3;ORC;sg;Sébastien ;sourit; à la patiente; que;  le calmant ;affaiblit;elle; progressivement ;depuis un an .
4;ORC;sg;Jérôme ;parle ;à la prisonnière ;que;  le gardien ;sort ;elle;parfois; dans la cour .
5;ORC;sg;Charles; sourit; à la victime; que;  le traitement; guérit;elle; lentement; mais sûrement .
6;ORC;sg;Benjamin; pense ;à l' adolescent; que;  l' éducateur; bat;lui; souvent; depuis quelques années .
7;ORC;pl;Bernard ;songe; aux joueuses; que;  le casino; ruine;elle; malheureusement; bien trop vite .
8;ORC;pl;Laure ;sourit; aux bergères; que ; le mouton; suit;elle; stupidement; après la tonte .
9;ORC;pl;Pierre; téléphone; aux candidates; que;  le jury; attend;eux; fermement; après l' audition .
10;ORC;pl;Marc; pense ;aux populations ;que ; le malheur; unit;eux; fatalement; après le drame .
11;ORC;pl;Claire; plaît; aux ouvriers; que;  la cheminée; noircit;eux; énormément; depuis les travaux .
12;ORC;pl;Patricia; parle; aux clientes; que  ;le chapeau; grandit;elles; beaucoup; à cause des plumes .