Labels;Groupe 1;Groupe 2;Groupe 3;Groupe 4;Groupe 5;Groupe 6;Groupe 7;Groupe 8;Groupe 9;Groupe 10;Groupe 11;Groupe 12
at;I know that my brother said our aunt devoured the cake at the party .;I know that my brother said our aunt devoured at the party .;I know what my brother said our aunt devoured the cake at the party .;I know what my brother said our aunt devoured at the party .;I know that my brother said that our aunt devoured the cake at the party .;I know that my brother said that our aunt devoured at the party .;I know what my brother said that our aunt devoured the cake at the party .;I know what my brother said that our aunt devoured at the party .;I know that my brother said whether our aunt devoured the cake at the party .;I know that my brother said whether our aunt devoured at the party .;I know what my brother said whether our aunt devoured the cake at the party .;I know what my brother said whether our aunt devoured at the party .
in;My neighbor told me that the fireman believes the dog caught the cat in the garage .;My neighbor told me that the fireman believes the dog caught in the garage .;My neighbor told me what the fireman believes the dog caught the cat in the garage .;My neighbor told me what the fireman believes the dog caught in the garage .;My neighbor told me that the fireman believes that the dog caught the cat in the garage .;My neighbor told me that the fireman believes that the dog caught in the garage .;My neighbor told me what the fireman believes that the dog caught the cat in the garage .;My neighbor told me what the fireman believes that the dog caught in the garage .;My neighbor told me that the fireman believes whether the dog caught the cat in the garage .;My neighbor told me that the fireman believes whether the dog caught in the garage .;My neighbor told me what the fireman believes whether the dog caught the cat in the garage .;My neighbor told me what the fireman believes whether the dog caught in the garage .
by;I know that our assistant believes the committee delivered the report by the deadline .;I know that our assistant believes the committee delivered by the deadline .;I know what our assistant believes the committee delivered the report by the deadline .;I know what our assistant believes the committee delivered by the deadline .;I know that our assistant believes that the committee delivered the report by the deadline .;I know that our assistant believes that the committee delivered by the deadline .;I know what our assistant believes that the committee delivered the report by the deadline .;I know what our assistant believes that the committee delivered by the deadline .;I know that our assistant believes whether the committee delivered the report by the deadline .;I know that our assistant believes whether the committee delivered by the deadline .;I know what our assistant believes whether the committee delivered the report by the deadline .;I know what our assistant believes whether the committee delivered by the deadline .
during;You remember that I discovered the water ruined the new carpet during the flood .;You remember that I discovered the water ruined during the flood .;You remember what I discovered the water ruined the new carpet during the flood .;You remember what I discovered the water ruined during the flood .;You remember that I discovered that the water ruined the new carpet during the flood .;You remember that I discovered that the water ruined during the flood .;You remember what I discovered that the water ruined the new carpet during the flood .;You remember what I discovered that the water ruined during the flood .;You remember that I discovered whether the water ruined the new carpet during the flood .;You remember that I discovered whether the water ruined during the flood .;You remember what I discovered whether the water ruined the new carpet during the flood .;You remember what I discovered whether the water ruined during the flood .
last;She told me that the teacher suspects the star student stole answers to the test last semester .;She told me that the teacher suspects the star student stole last semester .;She told me what the teacher suspects the star student stole answers to the test last semester .;She told me what the teacher suspects the star student stole last semester .;She told me that the teacher suspects that the star student stole answers to the test last semester .;She told me that the teacher suspects that the star student stole last semester .;She told me what the teacher suspects that the star student stole answers to the test last semester .;She told me what the teacher suspects that the star student stole last semester .;She told me that the teacher suspects whether the star student stole answers to the test last semester .;She told me that the teacher suspects whether the star student stole last semester .;She told me what the teacher suspects whether the star student stole answers to the test last semester .;She told me what the teacher suspects whether the star student stole last semester .
with;She knows that the expert can tell the collector forged the painting with the help of modern technology .;She knows that the expert can tell the collector forged with the help of modern technology .;She knows what the expert can tell the collector forged the painting with the help of modern technology .;She knows what the expert can tell the collector forged with the help of modern technology .;She knows that the expert can tell that the collector forged the painting with the help of modern technology .;She knows that the expert can tell that the collector forged with the help of modern technology .;She knows what the expert can tell that the collector forged the painting with the help of modern technology .;She knows what the expert can tell that the collector forged with the help of modern technology .;She knows that the expert can tell whether the collector forged the painting with the help of modern technology .;She knows that the expert can tell whether the collector forged with the help of modern technology .;She knows what the expert can tell whether the collector forged the painting with the help of modern technology .;She knows what the expert can tell whether the collector forged with the help of modern technology .
into;We all remember that the politician said the convict smuggled a gun into the prison .;We all remember that the politician said the convict smuggled into the prison .;We all remember what the politician said the convict smuggled a gun into the prison .;We all remember what the politician said the convict smuggled into the prison .;We all remember that the politician said that the convict smuggled a gun into the prison .;We all remember that the politician said that the convict smuggled into the prison .;We all remember what the politician said that the convict smuggled a gun into the prison .;We all remember what the politician said that the convict smuggled into the prison .;We all remember that the politician said whether the convict smuggled a gun into the prison .;We all remember that the politician said whether the convict smuggled into the prison .;We all remember what the politician said whether the convict smuggled a gun into the prison .;We all remember what the politician said whether the convict smuggled into the prison .
next;My friend reported that the banker predicts the company will sell multiple assets next quarter .;My friend reported that the banker predicts the company will sell next quarter .;My friend reported what the banker predicts the company will sell multiple assets next quarter .;My friend reported what the banker predicts the company will sell next quarter .;My friend reported that the banker predicts that the company will sell multiple assets next quarter .;My friend reported that the banker predicts that the company will sell next quarter .;My friend reported what the banker predicts that the company will sell multiple assets next quarter .;My friend reported what the banker predicts that the company will sell next quarter .;My friend reported that the banker predicts whether the company will sell multiple assets next quarter .;My friend reported that the banker predicts whether the company will sell next quarter .;My friend reported what the banker predicts whether the company will sell multiple assets next quarter .;My friend reported what the banker predicts whether the company will sell next quarter .
last;I have an idea about that the actor suspects her rival sabotaged the audition last week .;I have an idea about that the actor suspects her rival sabotaged last week .;I have an idea about what the actor suspects her rival sabotaged the audition last week .;I have an idea about what the actor suspects her rival sabotaged last week .;I have an idea about that the actor suspects that her rival sabotaged the audition last week .;I have an idea about that the actor suspects that her rival sabotaged last week .  ??;I have an idea about what the actor suspects that her rival sabotaged the audition last week .;I have an idea about what the actor suspects that her rival sabotaged last week .;I have an idea about that the actor suspects whether her rival sabotaged the audition last week .;I have an idea about that the actor suspects whether her rival sabotaged last week .;I have an idea about what the actor suspects whether her rival sabotaged the audition last week .;I have an idea about what the actor suspects whether her rival sabotaged last week .
for;She can guess that our friend predicts the movie star will be awarded an oscar for her hard work .;She can guess that our friend predicts the movie star will be awarded for her hard work .;She can guess what our friend predicts the movie star will be awarded an oscar for her hard work .;She can guess what our friend predicts the movie star will be awarded for her hard work .;She can guess that our friend predicts that the movie star will be awarded an oscar for her hard work .;She can guess that our friend predicts that the movie star will be awarded for her hard work .;She can guess what our friend predicts that the movie star will be awarded an oscar for her hard work .;She can guess what our friend predicts that the movie star will be awarded for her hard work .;She can guess that our friend predicts whether the movie star will be awarded an oscar for her hard work .;She can guess that our friend predicts whether the movie star will be awarded for her hard work .;She can guess what our friend predicts whether the movie star will be awarded an oscar for her hard work .;She can guess what our friend predicts whether the movie star will be awarded for her hard work .
in;The newspaper reported that the police know the suspect killed the witness in the middle of the night .;The newspaper reported that the police know the suspect killed in the middle of the night .;The newspaper reported who the police know the suspect killed the witness in the middle of the night .;The newspaper reported who the police know the suspect killed in the middle of the night .;The newspaper reported that the police know that the suspect killed the witness in the middle of the night .;The newspaper reported that the police know that the suspect killed in the middle of the night .;The newspaper reported who the police know that the suspect killed the witness in the middle of the night .;The newspaper reported who the police know that the suspect killed in the middle of the night .;The newspaper reported that the police know whether the suspect killed the witness in the middle of the night .;The newspaper reported that the police know whether the suspect killed in the middle of the night .;The newspaper reported who the police know whether the suspect killed the witness in the middle of the night .;The newspaper reported who the police know whether the suspect killed in the middle of the night .
after;We recall that the old lady heard the hot tea warmed the young girl after the shocking incident .;We recall that the old lady heard the hot tea warmed after the shocking incident .;We recall who the old lady heard the hot tea warmed the young girl after the shocking incident .;We recall who the old lady heard the hot tea warmed after the shocking incident .;We recall that the old lady heard that the hot tea warmed the young girl after the shocking incident .;We recall that the old lady heard that the hot tea warmed after the shocking incident .;We recall who the old lady heard that the hot tea warmed the young girl after the shocking incident .;We recall who the old lady heard that the hot tea warmed after the shocking incident .;We recall that the old lady heard whether the hot tea warmed the young girl after the shocking incident .;We recall that the old lady heard whether the hot tea warmed after the shocking incident .;We recall who the old lady heard whether the hot tea warmed the young girl after the shocking incident .;We recall who the old lady heard whether the hot tea warmed after the shocking incident .
to;I remember that the doctor decided the nurse should administer the new medicine to the sick patient .;I remember that the doctor decided the nurse should administer to the sick patient .;I remember what the doctor decided the nurse should administer the new medicine to the sick patient .;I remember what the doctor decided the nurse should administer to the sick patient .;I remember that the doctor decided that the nurse should administer the new medicine to the sick patient .;I remember that the doctor decided that the nurse should administer to the sick patient .;I remember what the doctor decided that the nurse should administer the new medicine to the sick patient .;I remember what the doctor decided that the nurse should administer to the sick patient .;I remember that the doctor decided whether the nurse should administer the new medicine to the sick patient .;I remember that the doctor decided whether the nurse should administer to the sick patient .;I remember what the doctor decided whether the nurse should administer the new medicine to the sick patient .;I remember what the doctor decided whether the nurse should administer to the sick patient .
to;Our friend guessed that my friend discovered the gossip column revealed family secrets to the whole town .;Our friend guessed that my friend discovered the gossip column revealed to the whole town .;Our friend guessed what my friend discovered the gossip column revealed family secrets to the whole town .;Our friend guessed what my friend discovered the gossip column revealed to the whole town .;Our friend guessed that my friend discovered that the gossip column revealed family secrets to the whole town .;Our friend guessed that my friend discovered that the gossip column revealed to the whole town .;Our friend guessed what my friend discovered that the gossip column revealed family secrets to the whole town .;Our friend guessed what my friend discovered that the gossip column revealed to the whole town .;Our friend guessed that my friend discovered whether the gossip column revealed family secrets to the whole town .;Our friend guessed that my friend discovered whether the gossip column revealed to the whole town .;Our friend guessed what my friend discovered whether the gossip column revealed family secrets to the whole town .;Our friend guessed what my friend discovered whether the gossip column revealed to the whole town .
over;The mayor told me that the town clerk heard the town repaired the parking lot over the summer .;The mayor told me that the town clerk heard the town repaired over the summer .;The mayor told me what the town clerk heard the town repaired the parking lot over the summer .;The mayor told me what the town clerk heard the town repaired over the summer .;The mayor told me that the town clerk heard that the town repaired the parking lot over the summer .;The mayor told me that the town clerk heard that the town repaired over the summer .;The mayor told me what the town clerk heard that the town repaired the parking lot over the summer .;The mayor told me what the town clerk heard that the town repaired over the summer .;The mayor told me that the town clerk heard whether the town repaired the parking lot over the summer .;The mayor told me that the town clerk heard whether the town repaired over the summer .;The mayor told me what the town clerk heard whether the town repaired the parking lot over the summer .;The mayor told me what the town clerk heard whether the town repaired over the summer .
over;My friend remembers that the senator testified about the government collected personal data over the past decade .;My friend remembers that the senator testified about the government collected over the past decade .;My friend remembers what the senator testified about the government collected personal data over the past decade .;My friend remembers what the senator testified about the government collected over the past decade .;My friend remembers that the senator testified about that the government collected personal data over the past decade .;My friend remembers that the senator testified about that the government collected over the past decade .;My friend remembers what the senator testified about that the government collected personal data over the past decade .;My friend remembers what the senator testified about that the government collected over the past decade .;My friend remembers that the senator testified about whether the government collected personal data over the past decade .;My friend remembers that the senator testified about whether the government collected over the past decade .;My friend remembers what the senator testified about whether the government collected personal data over the past decade .;My friend remembers what the senator testified about whether the government collected over the past decade .
during;The newspaper said that the bureaucrat discovered the manager followed company regulations during the financial crisis .;The newspaper said that the bureaucrat discovered the manager followed during the financial crisis .;The newspaper said what the bureaucrat discovered the manager followed company regulations during the financial crisis .;The newspaper said what the bureaucrat discovered the manager followed during the financial crisis .;The newspaper said that the bureaucrat discovered that the manager followed company regulations during the financial crisis .;The newspaper said that the bureaucrat discovered that the manager followed during the financial crisis .;The newspaper said what the bureaucrat discovered that the manager followed company regulations during the financial crisis .;The newspaper said what the bureaucrat discovered that the manager followed during the financial crisis .;The newspaper said that the bureaucrat discovered whether the manager followed company regulations during the financial crisis .;The newspaper said that the bureaucrat discovered whether the manager followed during the financial crisis .;The newspaper said what the bureaucrat discovered whether the manager followed company regulations during the financial crisis .;The newspaper said what the bureaucrat discovered whether the manager followed during the financial crisis .
last;Our neighbor said that the professor intuits the student despised the assigned materials last semester .;Our neighbor said that the professor intuits the student despised last semester .;Our neighbor said what the professor intuits the student despised the assigned materials last semester .;Our neighbor said what the professor intuits the student despised last semester .;Our neighbor said that the professor intuits that the student despised the assigned materials last semester .;Our neighbor said that the professor intuits that the student despised last semester .;Our neighbor said what the professor intuits that the student despised the assigned materials last semester .;Our neighbor said what the professor intuits that the student despised last semester .;Our neighbor said that the professor intuits whether the student despised the assigned materials last semester .;Our neighbor said that the professor intuits whether the student despised last semester .;Our neighbor said what the professor intuits whether the student despised the assigned materials last semester .;Our neighbor said what the professor intuits whether the student despised last semester .
last;My friend told me that the consultant assumes the university hired a new administrator last week .;My friend told me that the consultant assumes the university hired last week .;My friend told me who the consultant assumes the university hired a new administrator last week .;My friend told me who the consultant assumes the university hired last week .;My friend told me that the consultant assumes that the university hired a new administrator last week .;My friend told me that the consultant assumes that the university hired last week .;My friend told me who the consultant assumes that the university hired a new administrator last week .;My friend told me who the consultant assumes that the university hired last week .;My friend told me that the consultant assumes whether the university hired a new administrator last week .;My friend told me that the consultant assumes whether the university hired last week .;My friend told me who the consultant assumes whether the university hired a new administrator last week .;My friend told me who the consultant assumes whether the university hired last week .
last;She can not believe that I forgot my good friend married my cousin last winter .;She can not believe that I forgot my good friend married last winter .;She can not believe who I forgot my good friend married my cousin last winter .;She can not believe who I forgot my good friend married last winter .;She can not believe that I forgot that my good friend married my cousin last winter .;She can not believe that I forgot that my good friend married last winter .;She can not believe who I forgot that my good friend married my cousin last winter .;She can not believe who I forgot that my good friend married last winter .;She can not believe that I forgot whether my good friend married my cousin last winter .;She can not believe that I forgot whether my good friend married last winter .;She can not believe who I forgot whether my good friend married my cousin last winter .;She can not believe who I forgot whether my good friend married last winter .
out;Our neighbor reminded us that she remembers the tow truck hauled the wagon out of the ditch .;Our neighbor reminded us that she remembers the tow truck hauled out of the ditch .;Our neighbor reminded us what she remembers the tow truck hauled the wagon out of the ditch .;Our neighbor reminded us what she remembers the tow truck hauled out of the ditch .;Our neighbor reminded us that she remembers that the tow truck hauled the wagon out of the ditch .;Our neighbor reminded us that she remembers that the tow truck hauled out of the ditch .;Our neighbor reminded us what she remembers that the tow truck hauled the wagon out of the ditch .;Our neighbor reminded us what she remembers that the tow truck hauled out of the ditch .;Our neighbor reminded us that she remembers whether the tow truck hauled the wagon out of the ditch .;Our neighbor reminded us that she remembers whether the tow truck hauled out of the ditch .;Our neighbor reminded us what she remembers whether the tow truck hauled the wagon out of the ditch .;Our neighbor reminded us what she remembers whether the tow truck hauled out of the ditch .
earlier;The shop owner told me that the baker forgot the restaurant prepared a new recipe earlier that week .;The shop owner told me that the baker forgot the restaurant prepared earlier that week .;The shop owner told me what the baker forgot the restaurant prepared a new recipe earlier that week .;The shop owner told me what the baker forgot the restaurant prepared earlier that week .;The shop owner told me that the baker forgot that the restaurant prepared a new recipe earlier that week .;The shop owner told me that the baker forgot that the restaurant prepared earlier that week .;The shop owner told me what the baker forgot that the restaurant prepared a new recipe earlier that week .;The shop owner told me what the baker forgot that the restaurant prepared earlier that week .;The shop owner told me that the baker forgot whether the restaurant prepared a new recipe earlier that week .;The shop owner told me that the baker forgot whether the restaurant prepared earlier that week .;The shop owner told me what the baker forgot whether the restaurant prepared a new recipe earlier that week .;The shop owner told me what the baker forgot whether the restaurant prepared earlier that week .
last;My sister told me that our mother remembers the newspaper published a scandalous story last month .;My sister told me that our mother remembers the newspaper published last month .;My sister told me what our mother remembers the newspaper published a scandalous story last month .;My sister told me what our mother remembers the newspaper published last month .;My sister told me that our mother remembers that the newspaper published a scandalous story last month .;My sister told me that our mother remembers that the newspaper published last month .;My sister told me what our mother remembers that the newspaper published a scandalous story last month .;My sister told me what our mother remembers that the newspaper published last month .;My sister told me that our mother remembers whether the newspaper published a scandalous story last month .;My sister told me that our mother remembers whether the newspaper published last month .;My sister told me what our mother remembers whether the newspaper published a scandalous story last month .;My sister told me what our mother remembers whether the newspaper published last month .
before;We remember that the judge decided the lawyer must shred the evidence before the trial .;We remember that the judge decided the lawyer must shred before the trial .;We remember what the judge decided the lawyer must shred the evidence before the trial .;We remember what the judge decided the lawyer must shred before the trial .;We remember that the judge decided that the lawyer must shred the evidence before the trial .;We remember that the judge decided that the lawyer must shred before the trial .;We remember what the judge decided that the lawyer must shred the evidence before the trial .;We remember what the judge decided that the lawyer must shred before the trial .;We remember that the judge decided whether the lawyer must shred the evidence before the trial .;We remember that the judge decided whether the lawyer must shred before the trial .;We remember what the judge decided whether the lawyer must shred the evidence before the trial .;We remember what the judge decided whether the lawyer must shred before the trial .