Labels;Groupe1;Groupe2;Groupe3;Groupe4;Groupe5;Groupe6;Groupe7;Groupe8;Groupe9;Groupe10;Groupe11;Groupe12
à;Je sais que mon frère a dit notre tante a dévoré le gâteau à la fête .;Je sais que mon frère a dit notre tante a dévoré à la fête .;Je sais ce que mon frère a dit notre tante a dévoré le gâteau à la fête .;Je sais ce que mon frère a dit notre tante a dévoré à la fête .;Je sais que mon frère a dit que notre tante a dévoré le gâteau à la fête .;Je sais que mon frère a dit que notre tante a dévoré à la fête .;Je sais ce que mon frère a dit que notre tante a dévoré le gâteau à la fête .;Je sais ce que mon frère a dit que notre tante a dévoré à la fête .;Je sais que mon frère a dit si notre tante a dévoré le gâteau à la fête .;Je sais que mon frère a dit si notre tante a dévoré à la fête .;Je sais ce que mon frère a dit si notre tante a dévoré le gâteau à la fête .;Je sais ce que mon frère a dit si notre tante a dévoré à la fête .
dans;Mon voisin m'a dit que le pompier croit le chien a attrapé le chat dans le garage .;Mon voisin m'a dit que le pompier croit le chien a attrapé dans le garage .;Mon voisin m'a dit ce que le pompier croit le chien a attrapé le chat dans le garage .;Mon voisin m'a dit ce que le pompier croit le chien a attrapé dans le garage .;Mon voisin m'a dit que le pompier croit que le chien a attrapé le chat dans le garage .;Mon voisin m'a dit que le pompier croit que le chien a attrapé dans le garage .;Mon voisin m'a dit ce que le pompier croit que le chien a attrapé le chat dans le garage .;Mon voisin m'a dit ce que le pompier croit que le chien a attrapé dans le garage .;Mon voisin m'a dit que le pompier croit si le chien a attrapé le chat dans le garage .;Mon voisin m'a dit que le pompier croit si le chien a attrapé dans le garage .;Mon voisin m'a dit ce que le pompier croit si le chien a attrapé le chat dans le garage .;Mon voisin m'a dit ce que le pompier croit si le chien a attrapé dans le garage .
dans;Je sais que notre assistant croit le comité a livré le rapport dans les délais .;Je sais que notre assistant croit le comité a livré dans les délais .;Je sais ce que notre assistant croit le comité a livré le rapport dans les délais .;Je sais ce que notre assistant croit le comité a livré dans les délais .;Je sais que notre assistant croit que le comité a livré le rapport dans les délais .;Je sais que notre assistant croit que le comité a livré dans les délais .;Je sais ce que notre assistant croit que le comité a livré le rapport dans les délais .;Je sais ce que notre assistant croit que le comité a livré dans les délais .;Je sais que notre assistant croit si le comité a livré le rapport dans les délais .;Je sais que notre assistant croit si le comité a livré dans les délais .;Je sais ce que notre assistant croit si le comité a livré le rapport dans les délais .;Je sais ce que notre assistant croit si le comité a livré dans les délais .
durant;Tu te souviens que j'ai découvert l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens que j'ai découvert l'eau a ruiné durant l'inondation .;Tu te souviens ce que j'ai découvert l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens ce que j'ai découvert l'eau a ruiné durant l'inondation .;Tu te souviens que j'ai découvert que l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens que j'ai découvert que l'eau a ruiné durant l'inondation .;Tu te souviens ce que j'ai découvert que l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens ce que j'ai découvert que l'eau a ruiné durant l'inondation .;Tu te souviens que j'ai découvert si l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens que j'ai découvert si l'eau a ruiné durant l'inondation .;Tu te souviens ce que j'ai découvert si l'eau a ruiné le nouveau tapis durant l'inondation .;Tu te souviens ce que j'ai découvert si l'eau a ruiné durant l'inondation .
le;Elle m'a dit que le professeur soupçonne l'étudiant vedette a volé les réponses au test le semestre dernier .;Elle m'a dit que le professeur soupçonne l'étudiant vedette a volé le semestre dernier .;Elle m'a dit ce que le professeur soupçonne l'étudiant vedette a volé les réponses au test le semestre dernier . ;Elle m'a dit ce que le professeur soupçonne l'étudiant vedette a volé le semestre dernier .;Elle m'a dit que le professeur soupçonne que l'étudiant vedette a volé les réponses au test le semestre dernier .;Elle m'a dit que le professeur soupçonne que l'étudiant vedette a volé le semestre dernier .;Elle m'a dit ce que le professeur soupçonne que l'étudiant vedette a volé les réponses au test le semestre dernier .;Elle m'a dit ce que le professeur soupçonne que l'étudiant vedette a volé le semestre dernier .;Elle m'a dit que le professeur soupçonne si l'étudiant vedette a volé les réponses au test le semestre dernier .;Elle m'a dit que le professeur soupçonne si l'étudiant vedette a volé le semestre dernier .;Elle m'a dit ce que le professeur soupçonne si l'étudiant vedette a volé les réponses au test le semestre dernier .;Elle m'a dit ce que le professeur soupçonne si l'étudiant vedette a volé le semestre dernier .
avec;Elle sait que l'expert peut dire le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait que l'expert peut dire le collectionneur a falsifié avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire le collectionneur a falsifié avec l'aide de la technologie moderne .;Elle sait que l'expert peut dire que le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait que l'expert peut dire que le collectionneur a falsifié avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire que le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire que le collectionneur a falsifié avec l'aide de la technologie moderne .;Elle sait que l'expert peut dire si le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait que l'expert peut dire si le collectionneur a falsifié avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire si le collectionneur a falsifié le tableau avec l'aide de la technologie moderne .;Elle sait ce que l'expert peut dire si le collectionneur a falsifié avec l'aide de la technologie moderne .
dans;Nous nous souvenons tous que le politicien a déclaré le détenu a introduit une arme dans la prison .!!!;Nous nous souvenons tous que le politicien a déclaré le détenu a introduit dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré le détenu a introduit une arme dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré le détenu a introduit dans la prison .;Nous nous souvenons tous que le politicien a déclaré que le détenu a introduit une arme dans la prison .;Nous nous souvenons tous que le politicien a déclaré que le détenu a introduit dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré que le détenu a introduit une arme dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré que le détenu a introduit dans la prison .;Nous nous souvenons tous que le politicien a déclaré si le détenu a introduit une arme dans la prison .;Nous nous souvenons tous que le politicien a déclaré si le détenu a introduit dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré si le détenu a introduit une arme dans la prison .;Nous nous souvenons tous ce que le politicien a déclaré si le détenu a introduit dans la prison .
le;Mon ami a rapporté que le banquier prédit la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté que le banquier prédit la société vendra le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit la société vendra le prochain trimestre .;Mon ami a rapporté que le banquier prédit que la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté que le banquier prédit que la société vendra le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit que la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit que la société vendra le prochain trimestre .;Mon ami a rapporté que le banquier prédit si la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté que le banquier prédit si la société vendra le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit si la société vendra plusieurs actifs le prochain trimestre .;Mon ami a rapporté ce que le banquier prédit si la société vendra le prochain trimestre .
la;J'ai une idée que l'acteur soupçonne sa rivale a saboté l'audition la semaine passé .;J'ai une idée que l'acteur soupçonne sa rivale a saboté la semaine passé .;J'ai une idée sur ce que l'acteur soupçonne sa rivale a saboté l'audition la semaine passé . ;J'ai une idée sur ce que l'acteur soupçonne sa rivale a saboté la semaine passé .;J'ai une idée sur le fait que l'acteur soupçonne sa rivale a saboté l'audition la semaine passé .;J'ai une idée sur le fait que l'acteur soupçonne sa rivale a saboté la semaine passé .;J'ai une idée sur le fait ce que l'acteur soupçonne sa rivale a saboté l'audition la semaine passé .;J'ai une idée sur le fait ce que l'acteur soupçonne sa rivale a saboté la semaine passé .;J'ai une idée sur le fait que l'acteur soupçonne si sa rivale a saboté l'audition la semaine passé .;J'ai une idée sur le fait que l'acteur soupçonne si sa rivale a saboté la semaine passé .;J'ai une idée sur le fait ce que l'acteur soupçonne si sa rivale a saboté l'audition la semaine passé .;J'ai une idée sur le fait ce que l'acteur soupçonne si sa rivale a saboté la semaine passé .
pour;Elle peut deviner que notre ami prédit la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner que notre ami prédit la star de cinéma recevra pour son travail difficile .;Elle peut deviner ce que notre ami prédit la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner ce que notre ami prédit la star de cinéma recevra pour son travail difficile .;Elle peut deviner que notre ami prédit que la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner que notre ami prédit que la star de cinéma recevra pour son travail difficile .;Elle peut deviner ce que notre ami prédit que la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner ce que notre ami prédit que la star de cinéma recevra pour son travail difficile .;Elle peut deviner que notre ami prédit si la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner que notre ami prédit si la star de cinéma recevra pour son travail difficile .;Elle peut deviner ce que notre ami prédit si la star de cinéma recevra un oscar pour son travail difficile .;Elle peut deviner ce que notre ami prédit si la star de cinéma recevra pour son travail difficile .
au;Le journal a rapporté que la police sait le suspect a tué le témoin au milieu de la nuit .;Le journal a rapporté que la police sait le suspect a tué au milieu de la nuit .;Le journal a rapporté qui la police sait le suspect a tué le témoin au milieu de la nuit .;Le journal a rapporté qui la police sait le suspect a tué au milieu de la nuit .;Le journal a rapporté que la police sait que le suspect a tué le témoin au milieu de la nuit .;Le journal a rapporté que la police sait que le suspect a tué au milieu de la nuit .;Le journal a rapporté qui la police sait que le suspect a tué le témoin au milieu de la nuit .;Le journal a rapporté qui la police sait que le suspect a tué au milieu de la nuit .;Le journal a rapporté que la police sait si le suspect a tué le témoin au milieu de la nuit .;Le journal a rapporté que la police sait si le suspect a tué au milieu de la nuit .;Le journal a rapporté qui la police sait si le suspect a tué le témoin au milieu de la nuit .;Le journal a rapporté qui la police sait si le suspect a tué au milieu de la nuit .
après;Nous rappelons que la vieille dame a entendu le thé chaud a réchauffé la jeune fille après l'incident choquant .;Nous rappelons que la vieille dame a entendu le thé chaud a réchauffé après l'incident choquant .;Nous rappelons qui la vieille dame a entendu le thé chaud a réchauffé la jeune fille après l'incident choquant .;Nous rappelons qui la vieille dame a entendu le thé chaud a réchauffé après l'incident choquant .;Nous rappelons que la vieille dame a entendu que le thé chaud a réchauffé la jeune fille après l'incident choquant .;Nous rappelons que la vieille dame a entendu que le thé chaud a réchauffé après l'incident choquant .;Nous rappelons qui la vieille dame a entendu que le thé chaud a réchauffé la jeune fille après l'incident choquant .;Nous rappelons qui la vieille dame a entendu que le thé chaud a réchauffé après l'incident choquant .;Nous rappelons que la vieille dame a entendu si le thé chaud a réchauffé la jeune fille après l'incident choquant .;Nous rappelons que la vieille dame a entendu si le thé chaud a réchauffé après l'incident choquant .;Nous rappelons qui la vieille dame a entendu si le thé chaud a réchauffé la jeune fille après l'incident choquant .;Nous rappelons qui la vieille dame a entendu si le thé chaud a réchauffé après l'incident choquant .
au;Je me souviens que le médecin a décidé l'infirmière devrait administrer le nouveau médicament au patient malade .;Je me souviens que le médecin a décidé l'infirmière devrait administrer au patient malade .;Je me souviens ce que le médecin a décidé l'infirmière devrait administrer le nouveau médicament au patient malade .;Je me souviens ce que le médecin a décidé l'infirmière devrait administrer au patient malade .;Je me souviens que le médecin a décidé que l'infirmière devrait administrer le nouveau médicament au patient malade .;Je me souviens que le médecin a décidé que l'infirmière devrait administrer au patient malade .;Je me souviens ce que le médecin a décidé que l'infirmière devrait administrer le nouveau médicament au patient malade .;Je me souviens ce que le médecin a décidé que l'infirmière devrait administrer au patient malade .;Je me souviens que le médecin a décidé si l'infirmière devrait administrer le nouveau médicament au patient malade .;Je me souviens que le médecin a décidé si l'infirmière devrait administrer au patient malade .;Je me souviens ce que le médecin a décidé si l'infirmière devrait administrer le nouveau médicament au patient malade .;Je me souviens ce que le médecin a décidé si l'infirmière devrait administrer au patient malade .
à;Notre ami a deviné que mon ami a découvert la colonne des rumeurs a revelé des secrets de famille à toute la ville .;Notre ami a deviné que mon ami a découvert la colonne des rumeurs a revelé à toute la ville.;Notre ami a deviné ce que mon ami a découvert la colonne des rumeurs a revelé des secrets de famille à toute la ville .;Notre ami a deviné ce que mon ami a découvert la colonne des rumeurs a revelé à toute la ville .;Notre ami a deviné que mon ami a découvert que la colonne des rumeurs a revelé des secrets de famille à toute la ville .;Notre ami a deviné que mon ami a découvert que la colonne des rumeurs a revelé à toute la ville .;Notre ami a deviné ce que mon ami a découvert que la colonne des rumeurs a revelé des secrets de famille à toute la ville .;Notre ami a deviné ce que mon ami a découvert que la colonne des rumeurs a revelé à toute la ville .;Notre ami a deviné que mon ami a découvert si la colonne des rumeurs a revelé des secrets de famille à toute la ville .;Notre ami a deviné que mon ami a découvert si la colonne des rumeurs a revelé à toute la ville .;Notre ami a deviné ce que mon ami a découvert si la colonne des rumeurs a revelé des secrets de famille à toute la ville .;Notre ami a deviné ce que mon ami a découvert si la colonne des rumeurs a revelé à toute la ville .
durant;Le mayer m'a dit que le secrétaire de municipalité a entendu la ville a réparé le parking durant l'été .;Le mayer m'a dit que le secrétaire de municipalité a entendu la ville a réparé durant l'été .;Le mayer m'a dit ce que le secrétaire de municipalité a entendu la ville a réparé le parking durant l'été .;Le mayer m'a dit ce que le secrétaire de municipalité a entendu la ville a réparé durant l'été .;Le mayer m'a dit que le secrétaire de municipalité a entendu que la ville a réparé le parking durant l'été .;Le mayer m'a dit que le secrétaire de municipalité a entendu que la ville a réparé durant l'été .;Le mayer m'a dit ce que le secrétaire de municipalité a entendu que la ville a réparé le parking durant l'été .;Le mayer m'a dit ce que le secrétaire de municipalité a entendu que la ville a réparé durant l'été .;Le mayer m'a dit que le secrétaire de municipalité a entendu si la ville a réparé le parking durant l'été .;Le mayer m'a dit que le secrétaire de municipalité a entendu si la ville a réparé durant l'été .;Le mayer m'a dit ce que le secrétaire de municipalité a entendu si la ville a réparé le parking durant l'été .;Le mayer m'a dit ce que le secrétaire de municipalité a entendu si la ville a réparé durant l'été .
au;Mon ami se souvient que le sénateur a témoigné le gouvernement a collecté des données personnelles au cours de la dernière décennie . !!!;Mon ami se souvient que le sénateur a témoigné le gouvernement a collecté au cours de la dernière décennie .;Mon ami se souvient ce que le sénateur a témoigné le gouvernement a collecté des données personnelles au cours de la dernière décennie .;Mon ami se souvient ce que le sénateur a témoigné le gouvernement a collecté au cours de la dernière décennie .;Mon ami se souvient que le sénateur a témoigné que le gouvernement a collecté des données personnelles au cours de la dernière décennie .;Mon ami se souvient que le sénateur a témoigné que le gouvernement a collecté au cours de la dernière décennie .;Mon ami se souvient ce que le sénateur a témoigné que le gouvernement a collecté des données personnelles au cours de la dernière décennie .;Mon ami se souvient ce que le sénateur a témoigné que le gouvernement a collecté au cours de la dernière décennie .;Mon ami se souvient que le sénateur a témoigné si le gouvernement a collecté des données personnelles au cours de la dernière décennie .;Mon ami se souvient que le sénateur a témoigné si le gouvernement a collecté au cours de la dernière décennie .;Mon ami se souvient ce que le sénateur a témoigné si le gouvernement a collecté des données personnelles au cours de la dernière décennie .;Mon ami se souvient ce que le sénateur a témoigné si le gouvernement a collecté au cours de la dernière décennie .
durant;Le journal a déclaré que le bureaucrate a découvert le gestionnaire a suivi les réglementations de l'entreprise durant la crise financière .;Le journal a déclaré que le bureaucrate a découvert le gestionnaire a suivi durant la crise financière .;Le journal a déclaré ce que le bureaucrate a découvert le gestionnaire a suivi les réglementations de l'entreprise durant la crise financière .;Le journal a déclaré ce que le bureaucrate a découvert le gestionnaire a suivi durant la crise financière .;Le journal a déclaré que le bureaucrate a découvert que le gestionnaire a suivi les réglementations de l'entreprise durant la crise financière .;Le journal a déclaré que le bureaucrate a découvert que le gestionnaire a suivi durant la crise financière .;Le journal a déclaré ce que le bureaucrate a découvert que le gestionnaire a suivi les réglementations de l'entreprise durant la crise financière .;Le journal a déclaré ce que le bureaucrate a découvert que le gestionnaire a suivi durant la crise financière .;Le journal a déclaré que le bureaucrate a découvert si le gestionnaire a suivi les réglementations de l'entreprise durant la crise financière .;Le journal a déclaré que le bureaucrate a découvert si le gestionnaire a suivi durant la crise financière .;Le journal a déclaré ce que le bureaucrate a découvert si le gestionnaire a suivi les réglementations de l'entreprise durant la crise financière .;Le journal a déclaré ce que le bureaucrate a découvert si le gestionnaire a suivi durant la crise financière .
le;Notre voisin a dit que le professeur intuite l'étudiant a méprisé le matériel assigné le semestre dernier .;Notre voisin a dit que le professeur intuit l'étudiant a méprisé le semestre dernier .;Notre voisin a dit ce que le professeur intuite l'étudiant a méprisé le matériel assigné le semestre dernier .;Notre voisin a dit ce que le professeur intuite l'étudiant a méprisé le semestre dernier .;Notre voisin a dit que le professeur intuite que l'étudiant a méprisé le matériel assigné le semestre dernier .;Notre voisin a dit que le professeur intuite que l'étudiant a méprisé le semestre dernier .;Notre voisin a dit ce que le professeur intuite que l'étudiant a méprisé le matériel assigné le semestre dernier .;Notre voisin a dit ce que le professeur intuite que l'étudiant a méprisé le semestre dernier .;Notre voisin a dit que le professeur intuite si l'étudiant a méprisé le matériel assigné le semestre dernier .;Notre voisin a dit que le professeur intuite si l'étudiant a méprisé le semestre dernier .;Notre voisin a dit ce que le professeur intuite si l'étudiant a méprisé le matériel assigné le semestre dernier .;Notre voisin a dit ce que le professeur intuite si l'étudiant a méprisé le semestre dernier .
la;Mon ami m'a dit que le consultant suppose l'université a engagé un nouvel administrateur la semaine dernière .;Mon ami m'a dit que le consultant suppose l'université a engagé la semaine dernière .;Mon ami m'a dit qui le consultant suppose l'université a engagé un nouvel administrateur la semaine dernière .;Mon ami m'a dit qui le consultant suppose l'université a engagé la semaine dernière .;Mon ami m'a dit que le consultant suppose que l'université a engagé un nouvel administrateur la semaine dernière .;Mon ami m'a dit que le consultant suppose que l'université a engagé la semaine dernière .;Mon ami m'a dit qui le consultant suppose que l'université a engagé un nouvel administrateur la semaine dernière .;Mon ami m'a dit qui le consultant suppose que l'université a engagé la semaine dernière .;Mon ami m'a dit que le consultant suppose si l'université a engagé un nouvel administrateur la semaine dernière .;Mon ami m'a dit que le consultant suppose si l'université a engagé la semaine dernière .;Mon ami m'a dit qui le consultant suppose si l'université a engagé un nouvel administrateur la semaine dernière .;Mon ami m'a dit qui le consultant suppose si l'université a engagé la semaine dernière .
hiver;Elle ne peut pas croire que j'ai oublié ma bonne amie a épousé mon cousin l’ hiver dernier .;Elle ne peut pas croire que j'ai oublié ma bonne amie a épousé l’ hiver dernier .;Elle ne peut pas croire qui j'ai oublié ma bonne amie a épousé mon cousin l’ hiver dernier .;Elle ne peut pas croire qui j'ai oublié ma bonne amie a épousé l’ hiver dernier .;Elle ne peut pas croire que j'ai oublié que ma bonne amie a épousé mon cousin l’ hiver dernier .;Elle ne peut pas croire que j'ai oublié que ma bonne amie a épousé l’ hiver dernier .;Elle ne peut pas croire qui j'ai oublié que ma bonne amie a épousé mon cousin l’ hiver dernier .;Elle ne peut pas croire qui j'ai oublié que ma bonne amie a épousé l’ hiver dernier .;Elle ne peut pas croire que j'ai oublié si ma bonne amie a épousé mon cousin l’ hiver dernier .;Elle ne peut pas croire que j'ai oublié si ma bonne amie a épousé l’ hiver dernier .;Elle ne peut pas croire qui j'ai oublié si ma bonne amie a épousé mon cousin l’ hiver dernier .;Elle ne peut pas croire qui j'ai oublié si ma bonne amie a épousé l’ hiver dernier .
hors;Notre voisine nous a rappelé qu'elle se souvient la dépanneuse a tiré le wagon hors du fossé .;Notre voisine nous a rappelé qu'elle se souvient la dépanneuse a tiré hors du fossé .;Notre voisine nous a rappelé ce qu'elle se souvient la dépanneuse a tiré le wagon hors du fossé .;Notre voisine nous a rappelé ce qu'elle se souvient la dépanneuse a tiré hors du fossé .;Notre voisine nous a rappelé qu'elle se souvient que la dépanneuse a tiré le wagon hors du fossé .;Notre voisine nous a rappelé qu'elle se souvient que la dépanneuse a tiré hors du fossé .;Notre voisine nous a rappelé ce qu'elle se souvient que la dépanneuse a tiré le wagon hors du fossé .;Notre voisine nous a rappelé ce qu'elle se souvient que la dépanneuse a tiré hors du fossé .;Notre voisine nous a rappelé qu'elle se souvient si la dépanneuse a tiré le wagon hors du fossé .;Notre voisine nous a rappelé qu'elle se souvient si la dépanneuse a tiré hors du fossé .;Notre voisine nous a rappelé ce qu'elle se souvient si la dépanneuse a tiré le wagon hors du fossé .;Notre voisine nous a rappelé ce qu'elle se souvient si la dépanneuse a tiré hors du fossé .
plus;Le propriétaire du magasin m'a dit que le boulanger a oublié le restaurant a préparé une nouvelle recette plus tôt cette semaine .;Le propriétaire du magasin m'a dit que le boulanger a oublié le restaurant a préparé plus tôt cette semaine .;Le propriétaire du magasin m'a dit ce que le boulanger a oublié le restaurant a préparé une nouvelle recette plus tôt cette semaine .;Le propriétaire du magasin m'a dit ce que le boulanger a oublié le restaurant a préparé plus tôt cette semaine .;Le propriétaire du magasin m'a dit que le boulanger a oublié que le restaurant a préparé une nouvelle recette plus tôt cette semaine .;Le propriétaire du magasin m'a dit que le boulanger a oublié que le restaurant a préparé plus tôt cette semaine .;Le propriétaire du magasin m'a dit ce que le boulanger a oublié que le restaurant a préparé une nouvelle recette plus tôt cette semaine .;Le propriétaire du magasin m'a dit ce que le boulanger a oublié que le restaurant a préparé plus tôt cette semaine .;Le propriétaire du magasin m'a dit que le boulanger a oublié si le restaurant a préparé une nouvelle recette plus tôt cette semaine .;Le propriétaire du magasin m'a dit que le boulanger a oublié si le restaurant a préparé plus tôt cette semaine .;Le propriétaire du magasin m'a dit ce que le boulanger a oublié si le restaurant a préparé une nouvelle recette plus tôt cette semaine .;Le propriétaire du magasin m'a dit ce que le boulanger a oublié si le restaurant a préparé plus tôt cette semaine .
le;Ma soeur m'a dit que notre mère se souvient le journal a publié une histoire scandaleuse le mois dernier .;Ma soeur m'a dit que notre mère se souvient le journal a publié le mois dernier .;Ma soeur m'a dit ce que notre mère se souvient le journal a publié une histoire scandaleuse le mois dernier .;Ma soeur m'a dit ce que notre mère se souvient le journal a publié le mois dernier .;Ma soeur m'a dit que notre mère se souvient que le journal a publié une histoire scandaleuse le mois dernier .;Ma soeur m'a dit que notre mère se souvient que le journal a publié le mois dernier .;Ma soeur m'a dit ce que notre mère se souvient que le journal a publié une histoire scandaleuse le mois dernier .;Ma soeur m'a dit ce que notre mère se souvient que le journal a publié le mois dernier .;Ma soeur m'a dit que notre mère se souvient si le journal a publié une histoire scandaleuse le mois dernier .;Ma soeur m'a dit que notre mère se souvient si le journal a publié le mois dernier .;Ma soeur m'a dit ce que notre mère se souvient si le journal a publié une histoire scandaleuse le mois dernier .;Ma soeur m'a dit ce que notre mère se souvient si le journal a publié le mois dernier .
avant;Nous nous souvenons que le juge a décidé l'avocat devait déchiqueter les preuves avant le procès .;Nous nous souvenons que le juge a décidé l'avocat devait déchiqueter avant le procès .;Nous nous souvenons ce que le juge a décidé l'avocat devait déchiqueter les preuves avant le procès .;Nous nous souvenons ce que le juge a décidé l'avocat devait déchiqueter avant le procès .;Nous nous souvenons que le juge a décidé que l'avocat devait déchiqueter les preuves avant le procès .;Nous nous souvenons que le juge a décidé que l'avocat devait déchiqueter avant le procès .;Nous nous souvenons ce que le juge a décidé que l'avocat devait déchiqueter les preuves avant le procès .;Nous nous souvenons ce que le juge a décidé que l'avocat devait déchiqueter avant le procès .;Nous nous souvenons que le juge a décidé si l'avocat devait déchiqueter les preuves avant le procès .;Nous nous souvenons que le juge a décidé si l'avocat devait déchiqueter avant le procès .;Nous nous souvenons ce que le juge a décidé si l'avocat devait déchiqueter les preuves avant le procès .;Nous nous souvenons ce que le juge a décidé si l'avocat devait déchiqueter avant le procès .