numero;variable;langue;phrase;;;;;;;;;
1;1;français;Je;sais;que ;;;;notre tante;a dévoré;le gâteau ;à la fête .
1;2;français;Je;sais;que ;;;;notre tante;a dévoré;;à la fête .
1;3;français;Je;sais;ce que ;;;;notre tante;a dévoré;le gâteau ;à la fête .
1;4;français;Je;sais;ce que ;;;;notre tante;a dévoré;;à la fête .
1;5;français;Je;sais;que ;mon frère;a dit;que;notre tante;a dévoré;le gâteau ;à la fête .
1;6;français;Je;sais;que ;mon frère;a dit;que;notre tante;a dévoré;;à la fête .
1;7;français;Je;sais;ce que ;mon frère;a dit;que;notre tante;a dévoré;le gâteau ;à la fête .
1;8;français;Je;sais;ce que ;mon frère;a dit;que;notre tante;a dévoré;;à la fête .
2;1;français;Mon voisin;m'a dit;que ;;;;le chien;a attrapé;le chat ;dans le garage .
2;2;français;Mon voisin;m'a dit;que;;;;le chien;a attrapé;;dans le garage .
2;3;français;Mon voisin;m'a dit;ce que ;;;;le chien;a attrapé;le chat ;dans le garage .
2;4;français;Mon voisin;m'a dit;ce que ;;;;le chien;a attrapé;;dans le garage .
2;5;français;Mon voisin;m'a dit;que ;le pompier;croit;que;le chien;a attrapé;le chat ;dans le garage .
2;6;français;Mon voisin;m'a dit;que ;le pompier;croit;que;le chien;a attrapé;;dans le garage .
2;7;français;Mon voisin;m'a dit;ce que ;le pompier;croit;que;le chien;a attrapé;le chat ;dans le garage .
2;8;français;Mon voisin;m'a dit;ce que ;le pompier;croit;que;le chien;a attrapé;;dans le garage .
3;1;français;Je;sais;que ;;;;le comité;a livré;le rapport ;dans les délais .
3;2;français;Je;sais;que ;;;;le comité;a livré;;dans les délais .
3;3;français;Je;sais;ce que ;;;;le comité;a livré;le rapport ;dans les délais .
3;4;français;Je;sais;ce que ;;;;le comité;a livré;;dans les délais .
3;5;français;Je;sais;que ;notre assistant;croit;que;le comité;a livré;le rapport ;dans les délais .
3;6;français;Je;sais;que ;notre assistant;croit;que;le comité;a livré;;dans les délais .
3;7;français;Je;sais;ce que ;notre assistant;croit;que;le comité;a livré;le rapport ;dans les délais .
3;8;français;Je;sais;ce que ;notre assistant;croit;que;le comité;a livré;;dans les délais .
4;1;français;Tu;te souviens;que ;;;;l'eau;a ruiné;le nouveau tapis ;durant l'inondation .
4;2;français;Tu;te souviens;que ;;;;l'eau;a ruiné;;durant l'inondation .
4;3;français;Tu;te souviens;ce que ;;;;l'eau;a ruiné;le nouveau tapis ;durant l'inondation .
4;4;français;Tu;te souviens;ce que ;;;;l'eau;a ruiné;;durant l'inondation .
4;5;français;Tu;te souviens;que ;j';ai découvert;que;l'eau;a ruiné;le nouveau tapis ;durant l'inondation .
4;6;français;Tu;te souviens;que ;j';ai découvert;que;l'eau;a ruiné;;durant l'inondation .
4;7;français;Tu;te souviens;ce que ;j';ai découvert;que;l'eau;a ruiné;le nouveau tapis ;durant l'inondation .
4;8;français;Tu;te souviens;ce que ;j';ai découvert;que;l'eau;a ruiné;;durant l'inondation .
5;1;français;Elle;m'a dit;que ;;;;l'étudiant vedette;a volé;les réponses au test ;le semestre dernier .
5;2;français;Elle;m'a dit;que ;;;;l'étudiant vedette;a volé;;le semestre dernier .
5;3;français;Elle;m'a dit;ce que ;;;;l'étudiant vedette;a volé;les réponses au test ;le semestre dernier .
5;4;français;Elle;m'a dit;ce que ;;;;l'étudiant vedette;a volé;;le semestre dernier .
5;5;français;Elle;m'a dit;que ;le professeur;soupçonne;que;l'étudiant vedette;a volé;les réponses au test ;le semestre dernier .
5;6;français;Elle;m'a dit;que ;le professeur;soupçonne;que;l'étudiant vedette;a volé;;le semestre dernier .
5;7;français;Elle;m'a dit;ce que ;le professeur;soupçonne;que;l'étudiant vedette;a volé;les réponses au test ;le semestre dernier .
5;8;français;Elle;m'a dit;ce que ;le professeur;soupçonne;que;l'étudiant vedette;a volé;;le semestre dernier .
6;1;français;Elle;sait;que ;;;;le collectionneur;a falsifié;le tableau ;avec l'aide de la technologie moderne .
6;2;français;Elle;sait;que ;;;;le collectionneur;a falsifié;;avec l'aide de la technologie moderne .
6;3;français;Elle;sait;ce que ;;;;le collectionneur;a falsifié;le tableau ;avec l'aide de la technologie moderne .
6;4;français;Elle;sait;ce que ;;;;le collectionneur;a falsifié;;avec l'aide de la technologie moderne .
6;5;français;Elle;sait;que ;l'expert;peut dire;que;le collectionneur;a falsifié;le tableau ;avec l'aide de la technologie moderne .
6;6;français;Elle;sait;que ;l'expert;peut dire;que;le collectionneur;a falsifié;;avec l'aide de la technologie moderne .
6;7;français;Elle;sait;ce que ;l'expert;peut dire;que;le collectionneur;a falsifié;le tableau ;avec l'aide de la technologie moderne .
6;8;français;Elle;sait;ce que ;l'expert;peut dire;que;le collectionneur;a falsifié;;avec l'aide de la technologie moderne .
7;1;français;Nous;nous souvenons tous;que ;;;;le détenu;a introduit;une arme ;dans la prison .
7;2;français;Nous;nous souvenons tous;que ;;;;le détenu;a introduit;;dans la prison .
7;3;français;Nous;nous souvenons tous;ce que ;;;;le détenu;a introduit;une arme ;dans la prison .
7;4;français;Nous;nous souvenons tous;ce que ;;;;le détenu;a introduit;;dans la prison .
7;5;français;Nous;nous souvenons tous;que ;le politicien;a déclaré;que;le détenu;a introduit;une arme ;dans la prison .
7;6;français;Nous;nous souvenons tous;que ;le politicien;a déclaré;que;le détenu;a introduit;;dans la prison .
7;7;français;Nous;nous souvenons tous;ce que ;le politicien;a déclaré;que;le détenu;a introduit;une arme ;dans la prison .
7;8;français;Nous;nous souvenons tous;ce que ;le politicien;a déclaré;que;le détenu;a introduit;;dans la prison .
8;1;français;Mon ami;a rapporté;que ;;;;la société;vendra;plusieurs actifs ;le prochain trimestre .
8;2;français;Mon ami;a rapporté;que ;;;;la société;vendra;;le prochain trimestre .
8;3;français;Mon ami;a rapporté;ce que ;;;;la société;vendra;plusieurs actifs ;le prochain trimestre .
8;4;français;Mon ami;a rapporté;ce que ;;;;la société;vendra;;le prochain trimestre .
8;5;français;Mon ami;a rapporté;que ;le banquier;prédit;que;la société;vendra;plusieurs actifs ;le prochain trimestre .
8;6;français;Mon ami;a rapporté;que ;le banquier;prédit;que;la société;vendra;;le prochain trimestre .
8;7;français;Mon ami;a rapporté;ce que ;le banquier;prédit;que;la société;vendra;plusieurs actifs ;le prochain trimestre .
8;8;français;Mon ami;a rapporté;ce que ;le banquier;prédit;que;la société;vendra;;le prochain trimestre .
9;1;français;J';ai une idée;que ;;;;sa rivale;a saboté;l'audition ;la semaine passé
9;2;français;J';ai une idée;que ;;;;sa rivale;a saboté;;la semaine passé
9;3;français;J';ai une idée;sur ce que ;;;;sa rivale;a saboté;l'audition ;la semaine passé
9;4;français;J';ai une idée;sur ce que ;;;;sa rivale;a saboté;;la semaine passé
9;5;français;J';ai une idée;sur le fait que ;l'acteur;soupçonne;que;sa rivale;a saboté;l'audition ;la semaine passé
9;6;français;J';ai une idée;sur le fait que ;l'acteur;soupçonne;que;sa rivale;a saboté;;la semaine passé
9;7;français;J';ai une idée;sur le fait ce que ;l'acteur;soupçonne;que;sa rivale;a saboté;l'audition ;la semaine passé
9;8;français;J';ai une idée;sur le fait ce que ;l'acteur;soupçonne;que;sa rivale;a saboté;;la semaine passé
10;1;français;Elle;peut deviner;que ;;;;la star de cinéma;recevra;un oscar ;pour son travail difficile .
10;2;français;Elle;peut deviner;que ;;;;la star de cinéma;recevra;;pour son travail difficile .
10;3;français;Elle;peut deviner;ce que ;;;;la star de cinéma;recevra;un oscar ;pour son travail difficile .
10;4;français;Elle;peut deviner;ce que ;;;;la star de cinéma;recevra;;pour son travail difficile .
10;5;français;Elle;peut deviner;que ;notre ami;prédit;que;la star de cinéma;recevra;un oscar ;pour son travail difficile .
10;6;français;Elle;peut deviner;que ;notre ami;prédit;que;la star de cinéma;recevra;;pour son travail difficile .
10;7;français;Elle;peut deviner;ce que ;notre ami;prédit;que;la star de cinéma;recevra;un oscar ;pour son travail difficile .
10;8;français;Elle;peut deviner;ce que ;notre ami;prédit;que;la star de cinéma;recevra;;pour son travail difficile .
11;1;français;Le journal;a rapporté;que ;;;;le suspect;a tué;le témoin ;au milieu de la nuit .
11;2;français;Le journal;a rapporté;que ;;;;le suspect;a tué;;au milieu de la nuit .
11;3;français;Le journal;a rapporté;qui ;;;;le suspect;a tué;le témoin ;au milieu de la nuit .
11;4;français;Le journal;a rapporté;qui ;;;;le suspect;a tué;;au milieu de la nuit .
11;5;français;Le journal;a rapporté;que ;la police;sait;que;le suspect;a tué;le témoin ;au milieu de la nuit .
11;6;français;Le journal;a rapporté;que ;la police;sait;que;le suspect;a tué;;au milieu de la nuit .
11;7;français;Le journal;a rapporté;qui ;la police;sait;que;le suspect;a tué;le témoin ;au milieu de la nuit .
11;8;français;Le journal;a rapporté;qui ;la police;sait;que;le suspect;a tué;;au milieu de la nuit .
12;1;français;Nous;rappelons;que ;;;;le thé chaud;a réchauffé;la jeune fille ;après l'incident choquant .
12;2;français;Nous;rappelons;que ;;;;le thé chaud;a réchauffé;;après l'incident choquant .
12;3;français;Nous;rappelons;qui ;;;;le thé chaud;a réchauffé;la jeune fille ;après l'incident choquant .
12;4;français;Nous;rappelons;qui ;;;;le thé chaud;a réchauffé;;après l'incident choquant .
12;5;français;Nous;rappelons;que ;la vieille dame;a entendu;que;le thé chaud;a réchauffé;la jeune fille ;après l'incident choquant .
12;6;français;Nous;rappelons;que ;la vieille dame;a entendu;que;le thé chaud;a réchauffé;;après l'incident choquant .
12;7;français;Nous;rappelons;qui ;la vieille dame;a entendu;que;le thé chaud;a réchauffé;la jeune fille ;après l'incident choquant .
12;8;français;Nous;rappelons;qui ;la vieille dame;a entendu;que;le thé chaud;a réchauffé;;après l'incident choquant .
13;1;français;Je;me souviens;que ;;;;l'infirmière;devrait administrer;le nouveau médicament ;au patient malade .
13;2;français;Je;me souviens;que ;;;;l'infirmière;devrait administrer;;au patient malade .
13;3;français;Je;me souviens;ce que;;;;l'infirmière;devrait administrer;le nouveau médicament ;au patient malade .
13;4;français;Je;me souviens;ce que;;;;l'infirmière;devrait administrer;;au patient malade .
13;5;français;Je;me souviens;que;le médecin;a décidé;que;l'infirmière;devrait administrer;le nouveau médicament ;au patient malade .
13;6;français;Je;me souviens;que;le médecin;a décidé;que;l'infirmière;devrait administrer;;au patient malade .
13;7;français;Je;me souviens;ce que;le médecin;a décidé;que;l'infirmière;devrait administrer;le nouveau médicament ;au patient malade .
13;8;français;Je;me souviens;ce que;le médecin;a décidé;que;l'infirmière;devrait administrer;;au patient malade .
14;1;français;Notre ami;a deviné;que;;;;la colonne des rumeurs;a revelé;des secrets de famille ;à toute la ville .
14;2;français;Notre ami;a deviné;que;;;;la colonne des rumeurs;a revelé;;à toute la ville .
14;3;français;Notre ami;a deviné;ce que;;;;la colonne des rumeurs;a revelé;des secrets de famille ;à toute la ville .
14;4;français;Notre ami;a deviné;ce que;;;;la colonne des rumeurs;a revelé;;à toute la ville .
14;5;français;Notre ami;a deviné;que ;mon ami;a découvert;que;la colonne des rumeurs;a revelé;des secrets de famille ;à toute la ville .
14;6;français;Notre ami;a deviné;que ;mon ami;a découvert;que;la colonne des rumeurs;a revelé;;à toute la ville .
14;7;français;Notre ami;a deviné;ce que ;mon ami;a découvert;que;la colonne des rumeurs;a revelé;des secrets de famille ;à toute la ville .
14;8;français;Notre ami;a deviné;ce que ;mon ami;a découvert;que;la colonne des rumeurs;a revelé;;à toute la ville .
15;1;français;Le maire;m'a dit;que ;;;;la ville;a réparé;le parking ;durant l'été .
15;2;français;Le maire;m'a dit;que ;;;;la ville;a réparé;;durant l'été .
15;3;français;Le maire;m'a dit;ce que ;;;;la ville;a réparé;le parking ;durant l'été .
15;4;français;Le maire;m'a dit;ce que ;;;;la ville;a réparé;;durant l'été .
15;5;français;Le maire;m'a dit;que ;le secrétaire de municipalité;a entendu;que;la ville;a réparé;le parking ;durant l'été .
15;6;français;Le maire;m'a dit;que ;le secrétaire de municipalité;a entendu;que;la ville;a réparé;;durant l'été .
15;7;français;Le maire;m'a dit;ce que ;le secrétaire de municipalité;a entendu;que;la ville;a réparé;le parking ;durant l'été .
15;8;français;Le maire;m'a dit;ce que ;le secrétaire de municipalité;a entendu;que;la ville;a réparé;;durant l'été .
16;1;français;Mon ami;se souvient;que ;;;;le gouvernement;a collecté;des données personnelles  ;au cours de la dernière décennie .
16;2;français;Mon ami;se souvient;que ;;;;le gouvernement;a collecté;;au cours de la dernière décennie .
16;3;français;Mon ami;se souvient;ce que;;;;le gouvernement;a collecté;des données personnelles  ;au cours de la dernière décennie .
16;4;français;Mon ami;se souvient;ce que ;;;;le gouvernement;a collecté;;au cours de la dernière décennie .
16;5;français;Mon ami;se souvient;que ;le sénateur;a témoigné;que;le gouvernement;a collecté;des données personnelles  ;au cours de la dernière décennie .
16;6;français;Mon ami;se souvient;que ;le sénateur;a témoigné;que;le gouvernement;a collecté;;au cours de la dernière décennie .
16;7;français;Mon ami;se souvient;ce que ;le sénateur;a témoigné;que;le gouvernement;a collecté;des données personnelles  ;au cours de la dernière décennie .
16;8;français;Mon ami;se souvient;ce que ;le sénateur;a témoigné;que;le gouvernement;a collecté;;au cours de la dernière décennie .
17;1;français;Le journal;a déclaré;que ;;;;le gestionnaire;a suivi;les réglementations de l'entreprise ;durant la crise financière .
17;2;français;Le journal;a déclaré;que ;;;;le gestionnaire;a suivi;;durant la crise financière .
17;3;français;Le journal;a déclaré;ce que ;;;;le gestionnaire;a suivi;les réglementations de l'entreprise ;durant la crise financière .
17;4;français;Le journal;a déclaré;ce que ;;;;le gestionnaire;a suivi;;durant la crise financière .
17;5;français;Le journal;a déclaré;que ;le bureaucrate;a découvert;que;le gestionnaire;a suivi;les réglementations de l'entreprise ;durant la crise financière .
17;6;français;Le journal;a déclaré;que ;le bureaucrate;a découvert;que;le gestionnaire;a suivi;;durant la crise financière .
17;7;français;Le journal;a déclaré;ce que ;le bureaucrate;a découvert;que;le gestionnaire;a suivi;les réglementations de l'entreprise ;durant la crise financière .
17;8;français;Le journal;a déclaré;ce que ;le bureaucrate;a découvert;que;le gestionnaire;a suivi;;durant la crise financière .
18;1;français;Notre voisin;a dit;que;;;;l'étudiant;a méprisé;le matériel assigné ;le semestre dernier .
18;2;français;Notre voisin;a dit;que ;;;;l'étudiant;a méprisé;;le semestre dernier .
18;3;français;Notre voisin;a dit;ce que ;;;;l'étudiant;a méprisé;le matériel assigné ;le semestre dernier .
18;4;français;Notre voisin;a dit;ce que ;;;;l'étudiant;a méprisé;;le semestre dernier .
18;5;français;Notre voisin;a dit;que ;le professeur;intuite;que;l'étudiant;a méprisé;le matériel assigné ;le semestre dernier .
18;6;français;Notre voisin;a dit;que ;le professeur;intuite;que;l'étudiant;a méprisé;;le semestre dernier .
18;7;français;Notre voisin;a dit;ce que ;le professeur;intuite;que;l'étudiant;a méprisé;le matériel assigné ;le semestre dernier .
18;8;français;Notre voisin;a dit;ce que ;le professeur;intuite;que;l'étudiant;a méprisé;;le semestre dernier .
19;1;français;Mon ami;m'a dit;que;;;;l'université;a engagé;un nouvel administrateur ;la semaine dernière .
19;2;français;Mon ami;m'a dit;que;;;;l'université;a engagé;;la semaine dernière .
19;3;français;Mon ami;m'a dit;qui;;;;l'université;a engagé;un nouvel administrateur ;la semaine dernière .
19;4;français;Mon ami;m'a dit;qui;;;;l'université;a engagé;;la semaine dernière .
19;5;français;Mon ami;m'a dit;que;le consultant;suppose;que;l'université;a engagé;un nouvel administrateur ;la semaine dernière .
19;6;français;Mon ami;m'a dit;que;le consultant;suppose;que;l'université;a engagé;;la semaine dernière .
19;7;français;Mon ami;m'a dit;qui;le consultant;suppose;que;l'université;a engagé;un nouvel administrateur ;la semaine dernière .
19;8;français;Mon ami;m'a dit;qui;le consultant;suppose;que;l'université;a engagé;;la semaine dernière .
20;1;français;Elle;ne peut pas croire;que;;;;ma bonne amie;a épousé;mon cousin ;l'hiver dernier .
20;2;français;Elle;ne peut pas croire;que;;;;ma bonne amie;a épousé;;l'hiver dernier .
20;3;français;Elle;ne peut pas croire;qui;;;;ma bonne amie;a épousé;mon cousin ;l'hiver dernier .
20;4;français;Elle;ne peut pas croire;qui;;;;ma bonne amie;a épousé;;l'hiver dernier .
20;5;français;Elle;ne peut pas croire;que;j';ai oublié;que;ma bonne amie;a épousé;mon cousin ;l'hiver dernier .
20;6;français;Elle;ne peut pas croire;que;j';ai oublié;que;ma bonne amie;a épousé;;l'hiver dernier .
20;7;français;Elle;ne peut pas croire;qui;j';ai oublié;que;ma bonne amie;a épousé;mon cousin ;l'hiver dernier .
20;8;français;Elle;ne peut pas croire;qui;j';ai oublié;que;ma bonne amie;a épousé;;l'hiver dernier .
21;1;français;Notre voisine;nous a rappelé;qu';;;;la dépanneuse;a tiré;le wagon ;hors du fossé .
21;2;français;Notre voisine;nous a rappelé;qu';;;;la dépanneuse;a tiré;;hors du fossé .
21;3;français;Notre voisine;nous a rappelé;ce qu';;;;la dépanneuse;a tiré;le wagon ;hors du fossé .
21;4;français;Notre voisine;nous a rappelé;ce qu';;;;la dépanneuse;a tiré;;hors du fossé .
21;5;français;Notre voisine;nous a rappelé;qu';elle;se souvient;que;la dépanneuse;a tiré;le wagon ;hors du fossé .
21;6;français;Notre voisine;nous a rappelé;qu';elle;se souvient;que;la dépanneuse;a tiré;;hors du fossé .
21;7;français;Notre voisine;nous a rappelé;ce qu';elle;se souvient;que;la dépanneuse;a tiré;le wagon ;hors du fossé .
21;8;français;Notre voisine;nous a rappelé;ce qu';elle;se souvient;que;la dépanneuse;a tiré;;hors du fossé .
22;1;français;Le propriétaire du magasin;m'a dit;que ;;;;le restaurant;a préparé;une nouvelle recette ;plus tôt cette semaine .
22;2;français;Le propriétaire du magasin;m'a dit;que ;;;;le restaurant;a préparé;;plus tôt cette semaine .
22;3;français;Le propriétaire du magasin;m'a dit;ce que ;;;;le restaurant;a préparé;une nouvelle recette ;plus tôt cette semaine .
22;4;français;Le propriétaire du magasin;m'a dit;ce que ;;;;le restaurant;a préparé;;plus tôt cette semaine .
22;5;français;Le propriétaire du magasin;m'a dit;que ;le boulanger;a oublié;que;le restaurant;a préparé;une nouvelle recette ;plus tôt cette semaine .
22;6;français;Le propriétaire du magasin;m'a dit;que ;le boulanger;a oublié;que;le restaurant;a préparé;;plus tôt cette semaine .
22;7;français;Le propriétaire du magasin;m'a dit;ce que ;le boulanger;a oublié;que;le restaurant;a préparé;une nouvelle recette ;plus tôt cette semaine .
22;8;français;Le propriétaire du magasin;m'a dit;ce que ;le boulanger;a oublié;que;le restaurant;a préparé;;plus tôt cette semaine .
23;1;français;Ma soeur;m'a dit;que ;;;;le journal;a publié;une histoire scandaleuse ;le mois dernier .
23;2;français;Ma soeur;m'a dit;que ;;;;le journal;a publié;;le mois dernier .
23;3;français;Ma soeur;m'a dit;ce que;;;;le journal;a publié;une histoire scandaleuse ;le mois dernier .
23;4;français;Ma soeur;m'a dit;ce que ;;;;le journal;a publié;;le mois dernier .
23;5;français;Ma soeur;m'a dit;que ;notre mère;se souvient;que;le journal;a publié;une histoire scandaleuse ;le mois dernier .
23;6;français;Ma soeur;m'a dit;que ;notre mère;se souvient;que;le journal;a publié;;le mois dernier .
23;7;français;Ma soeur;m'a dit;ce que ;notre mère;se souvient;que;le journal;a publié;une histoire scandaleuse ;le mois dernier .
23;8;français;Ma soeur;m'a dit;ce que ;notre mère;se souvient;que;le journal;a publié;;le mois dernier .
24;1;français;Nous ;Nous souvenons;que;;;;l'avocat;devait déchiqueté;les preuves;avant le procès .
24;2;français;Nous ;Nous souvenons;que;;;;l'avocat;devait déchiqueté;;avant le procès .
24;3;français;Nous ;Nous souvenons;ce que;;;;l'avocat;devait déchiqueté;les preuves;avant le procès .
24;4;français;Nous ;Nous souvenons;ce que;;;;l'avocat;devait déchiqueté;;avant le procès .
24;5;français;Nous ;Nous souvenons;que;le juge;a décidé;que;l'avocat;devait déchiqueté;les preuves;avant le procès .
24;6;français;Nous ;Nous souvenons;que;le juge;a décidé;que;l'avocat;devait déchiqueté;;avant le procès .
24;7;français;Nous ;Nous souvenons;ce que;le juge;a décidé;que;l'avocat;devait déchiqueté;les preuves;avant le procès .
24;8;français;Nous ;Nous souvenons;ce que;le juge;a décidé;que;l'avocat;devait déchiqueté;;avant le procès .