Groupe1;Je sais qu'une indication nous a amenés à recommander un traitement hier soir.;Je me souviens que le cadeau a côté beaucoup d'argent à la dernière minute .;Le journal a rapporté que le roman a reçu des critiques favorables dans la presse .;Je sais que le tableau a atteint un prix élevé lors d'une vente aux enchères l'année dernière .;Vous vous souvenez que les instructions sont tombées dans le four à notre grand regret. ;Elle m'a dit qu'une allergie l'amène à éviter de sortir au restaurant depuis qu'il était jeune .;Elle sait que la livraison est arrivée vers midi mardi dernier .;Nous nous souvenons tous que le colis s'est perdu dans le courrier pendant la ruée vers les vacances .;Mon ami m'a rapporté que la symphonie a ému ma mère aux larmes hier soir .;J'ai une idée que la pièce m'a bouleversé hier soir. ;Elle peut deviner qu'un avant-propos a affirmé qu'Elvis est toujours en vie pendant le week-end .;Le journal a rapporté qu'un mélange était utilisé pour la vinaigrette à chaque fois qu'elle cuisinait.;Nous rappelons qu'une critique a trouvé un soutien en ligne en fin d'après-midi .;Je me souviens qu'une diatribe a été publiée dans le journal local hier soir.;Notre ami a deviné qu'une photo est apparue dans le journal hier après-midi . ;Le maire m'a dit qu'une photo avait été prise par le correspondant de guerre deux jours après la bataille .;Mon ami se souvient qu'une description n'avait pas été appréciée par l'évÍque il y a plus d'un an .;Le journal a dit que le cadeau avait été importé d'Italie pendant mes vacances .;Notre voisin a dit que l'argument a déchiré leur mariage hier .;Mon ami m'a dit qu'une proposition suggérait d'augmenter les avantages sociaux des employés hier soir .;Elle ne peut pas croire qu'une conférence a eu lieu en ville au printemps dernier .
Groupe2;Je sais que nous a amenés à recommander un traitement hier soir.;Je me souviens qu'a côté beaucoup d'argent à la dernière minute .;Le journal a rapporté qu'a reçu des critiques favorables dans la presse .;Je sais qu'a atteint un prix élevé lors d'une vente aux enchères l'année dernière .;Vous vous souvenez que sont tombées dans le four à notre grand regret .;Elle m'a dit que l'amène à éviter de sortir au restaurant depuis qu'il était jeune .;Elle sait qu' est arrivée vers midi mardi dernier . ;Nous nous souvenons tous que s'est perdu dans le courrier pendant la ruée vers les vacances .;Mon ami m'a rapporté qu'a ému ma mère aux larmes hier soir . ;J'ai une idée que m'a bouleversé hier soir. ;Elle peut deviner qu'a affirmé qu'Elvis est toujours en vie pendant le week-end .;Le journal a rapporté qu'était utilisé pour la vinaigrette à chaque fois qu'elle cuisinait. ;Nous rappelons qu'a trouvé un soutien en ligne en fin d'après-midi .;Je me souviens qu'a été publiée dans le journal local hier soir.;Notre ami a deviné qu'est apparue dans le journal hier après-midi .;Le maire m'a dit qu'avait été prise par le correspondant de guerre deux jours après la bataille .;Mon ami se souvient que n'avait pas été appréciée par l'évÍque il y a plus d'un an .;Le journal a dit qu'avait été importé d'Italie pendant mes vacances .;Notre voisin a dit qu'a déchiré leur mariage hier .;Mon ami m'a dit que suggérait d'augmenter les avantages sociaux des employés hier soir .;Elle ne peut pas croire qu'a eu lieu en ville au printemps dernier .
Groupe3;Je sais ce qu'une indication nous a amenés à recommander un traitement hier soir.;Je me souviens ce que le cadeau a côté beaucoup d'argent à la dernière minute .;Le journal a rapporté ce que le roman a reçu des critiques favorables dans la presse .;Je sais ce que le tableau a atteint un prix élevé lors d'une vente aux enchères l'année dernière .;Vous vous souvenez ce que les instructions sont tombées dans le four à notre grand regret .;Elle m'a dit ce qu'une allergie l'amène à éviter de sortir au restaurant depuis qu'il était jeune .;Elle sait ce que la livraison est arrivée vers midi mardi dernier .;Nous nous souvenons tous ce que le colis s'est perdu dans le courrier pendant la ruée vers les vacances .;Mon ami m'a rapporté ce que la symphonie a ému ma mère aux larmes hier soir .;J'ai une idée sur ce que la pièce m'a bouleversé hier soir. ;Elle peut deviner ce qu'un avant-propos a affirmé qu'Elvis est toujours en vie pendant le week-end .;Le journal a rapporté ce qu'un mélange était utilisé pour la vinaigrette à chaque fois qu'elle cuisinait. ;Nous rappelons ce qu'une critique a trouvé un soutien en ligne en fin d'après-midi .;Je me souviens ce qu'une diatribe a été publiée dans le journal local hier soir.;Notre ami a deviné ce qu'une photo est apparue dans le journal hier après-midi . ;Le maire m'a dit ce qu'une photo avait été prise par le correspondant de guerre deux jours après la bataille .;Mon ami se souvient ce qu'une description n'avait pas été appréciée par l'évÍque il y a plus d'un an .;Le journal a dit ce que le cadeau avait été importé d'Italie pendant mes vacances .;Notre voisin a dit ce que l'argument a déchiré leur mariage hier .;Mon ami m'a dit ce qu'une proposition suggérait d'augmenter les avantages sociaux des employés hier soir .;Elle ne peut pas croire ce qu'une conférence a eu lieu en ville au printemps dernier .
Groupe4;Je sais ce que nous a amenés à recommander un traitement hier soir.;Je me souviens ce qu'a côté beaucoup d'argent à la dernière minute .;Le journal a rapporté ce qu'a reçu des critiques favorables dans la presse .;Je sais ce qu'a atteint un prix élevé lors d'une vente aux enchères l'année dernière .;Vous vous souvenez ce que sont tombées dans le four à notre grand regret .;Elle m'a dit ce que l'amène à éviter de sortir au restaurant depuis qu'il était jeune .;Elle sait ce qu'est arrivée vers midi mardi dernier .;Nous nous souvenons tous ce que s'est perdu dans le courrier pendant la ruée vers les vacances .;Mon ami m'a rapporté ce qu'a ému ma mère aux larmes hier soir .;J'ai une idée sur ce que m'a bouleversé hier soir. ;Elle peut deviner ce qu'a affirmé qu'Elvis est toujours en vie pendant le week-end .;Le journal a rapporté ce qu'était utilisé pour la vinaigrette à chaque fois qu'elle cuisinait. ;Nous rappelons ce qu'a trouvé un soutien en ligne en fin d'après-midi .;Je me souviens ce qu'a été publiée dans le journal local hier soir.;Notre ami a deviné ce qu'est apparue dans le journal hier après-midi .;Le maire m'a dit ce qu'avait été prise par le correspondant de guerre deux jours après la bataille .;Mon ami se souvient ce que n'avait pas été appréciée par l'évÍque il y a plus d'un an .;Le journal a dit ce qu'avait été importé d'Italie pendant mes vacances .;Notre voisin a dit ce qu'a déchiré leur mariage hier .;Mon ami m'a dit ce que suggérait d'augmenter les avantages sociaux des employés hier soir .;Elle ne peut pas croire ce qu'a eu lieu en ville au printemps dernier .
Groupe5;Je sais qu'une indication qu'a signalé la dépression nous a amenés à recommander un traitement hier soir.;Je me souviens que le cadeau que nous avons acheté à Mary a côté beaucoup d'argent à la dernière minute .;Le journal a rapporté que le roman qu'a provoqué le célèbre auteur a reçu des critiques favorables dans la presse .;Je sais que le tableau qu'a représenté Monet a atteint un prix élevé lors d'une vente aux enchères l'année dernière .;Vous vous souvenez que les instructions qu'ont montré comment faire fonctionner le sous-marin sont tombées dans le four à notre grand regret .;Elle m'a dit qu'une allergie qu'est causée par les arachides l'amène à éviter de sortir au restaurant depuis qu'il était jeune .;Elle sait que la livraison qu'a choqué Sarah est arrivée vers midi mardi dernier .;Nous nous souvenons tous que le colis que Sarah a décrit à Robert s'est perdu dans le courrier pendant la ruée vers les vacances .;Mon ami m'a rapporté que la symphonie qu'était dédiée à Mozart a ému ma mère aux larmes hier soir .;J'ai une idée que la pièce qu'a ravi le comédien amateur m'a bouleversé hier soir. ;Elle peut deviner qu'un avant-propos qu'a présenté le nouveau manuscrit a affirmé qu'Elvis est toujours en vie pendant le week-end .;Le journal a rapporté qu'un mélange qu'incluait de l'huile et du vinaigre était utilisé pour la vinaigrette à chaque fois qu'elle cuisinait. ;Nous rappelons qu'une critique que visait l'industrie des combustibles fossiles a trouvé un soutien en ligne en fin d'après-midi .;Je me souviens qu'une diatribe qu'a critiqué le maire a été publiée dans le journal local hier soir .;Notre ami a deviné qu'une photo montrant le condamné est apparue dans le journal hier après-midi .?;Le maire m'a dit qu'une photo qu'a choqué le public avait été prise par le correspondant de guerre deux jours après la bataille .;Mon ami se souvient qu'une description qui se moquait de la vie de l'abbaye n'avait pas été appréciée par l'évÍque il y a plus d'un an .;Le journal a dit que le cadeau que nous avons donné à Simon avait été importé d'Italie pendant mes vacances .;Notre voisin a dit que l'argument qui concernait la garde des enfants a déchiré leur mariage hier .;Mon ami m'a dit qu'une proposition qu'il présentera au conseil d'administration suggérait d'augmenter les avantages sociaux des employés hier soir .;Elle ne peut pas croire qu'une conférence qu'a popularisé l'évolution des cellules a eu lieu en ville au printemps dernier .
Groupe6;Je sais qu'une indication qu'a signalé nous a amenés à recommander un traitement hier soir.;Je me souviens que le cadeau que nous avons acheté a côté beaucoup d'argent à la dernière minute .;Le journal a rapporté que le roman qu'a provoqué a reçu des critiques favorables dans la presse .;Je sais que le tableau qu'a représenté a atteint un prix élevé lors d'une vente aux enchères l'année dernière .;Vous vous souvenez que les instructions qu'ont montré comment faire fonctionner sont tombées dans le four à notre grand regret .;Elle m'a dit qu'une allergie qu'est causée par l'amène à éviter de sortir au restaurant depuis qu'il était jeune .;Elle sait que la livraison qu'a choqué est arrivée vers midi mardi dernier .;Nous nous souvenons tous que le colis que Sarah a décrit à s'est perdu dans le courrier pendant la ruée vers les vacances .;Mon ami m'a rapporté que la symphonie qu'était dédiée à a ému ma mère aux larmes hier soir .;J'ai une idée que la pièce qu'a ravi m'a bouleversé hier soir. ;Elle peut deviner qu'un avant-propos qu'a présenté a affirmé qu'Elvis est toujours en vie pendant le week-end .;Le journal a rapporté qu'un mélange qu'incluait était utilisé pour la vinaigrette à chaque fois qu'elle cuisinait. ;Nous rappelons qu'une critique que visait a trouvé un soutien en ligne en fin d'après-midi .;Je me souviens qu'une diatribe qu'a critiqué a été publiée dans le journal local hier soir .;Notre ami a deviné qu'une photo montrant est apparue dans le journal hier après-midi .?;Le maire m'a dit qu'une photo qu'a choqué avait été prise par le correspondant de guerre deux jours après la bataille .;Mon ami se souvient qu'une description qui se moquait n'avait pas été appréciée par l'évÍque il y a plus d'un an .;Le journal a dit que le cadeau que nous avons donné avait été importé d'Italie pendant mes vacances .;Notre voisin a dit que l'argument qui concernait a déchiré leur mariage hier .;Mon ami m'a dit qu'une proposition qu'il présentera suggérait d'augmenter les avantages sociaux des employés hier soir .;Elle ne peut pas croire qu'une conférence qu'a popularisé a eu lieu en ville au printemps dernier .
Groupe7;Je sais ce qu'une indication qu'a signalé la dépression nous a amenés à recommander un traitement hier soir.;Je me souviens qui le cadeau que nous avons acheté à Mary a côté beaucoup d'argent à la dernière minute .;Le journal a rapporté qui le roman qu'a provoqué le célèbre auteur a reçu des critiques favorables dans la presse .;Je sais qui le tableau qu'a représenté Monet a atteint un prix élevé lors d'une vente aux enchères l'année dernière .;Vous vous souvenez ce que les instructions qu'ont montré comment faire fonctionner le sous-marin sont tombées dans le four à notre grand regret .;Elle m'a dit ce qu'une allergie qu'est causée par les arachides l'amène à éviter de sortir au restaurant depuis qu'il était jeune .;Elle sait qui la livraison qu'a choqué Sarah est arrivée vers midi mardi dernier .;Nous nous souvenons tous qui le colis que Sarah a décrit à Robert s'est perdu dans le courrier pendant la ruée vers les vacances .;Mon ami m'a rapporté qui la symphonie qu'était dédiée à Mozart a ému ma mère aux larmes hier soir .;J'ai une idée qui la pièce qu'a ravi le comédien amateur m'a bouleversé hier soir. ;Elle peut deviner ce qu'un avant-propos qu'a présenté le nouveau manuscrit a affirmé qu'Elvis est toujours en vie pendant le week-end .;Le journal a rapporté ce qu'un mélange qu'incluait de l'huile et du vinaigre était utilisé pour la vinaigrette à chaque fois qu'elle cuisinait. ;Nous rappelons ce qu'une critique que visait l'industrie des combustibles fossiles a trouvé un soutien en ligne en fin d'après-midi .;Je me souviens qui une diatribe qu'a critiqué le maire a été publiée dans le journal local hier soir .;Notre ami a deviné qui une photo montrant le condamné est apparue dans le journal hier après-midi .;Le maire m'a dit qui une photo qu'a choqué le public avait été prise par le correspondant de guerre deux jours après la bataille .;Mon ami se souvient ce qu'une description qui se moquait de la vie de l'abbaye n'avait pas été appréciée par l'évÍque il y a plus d'un an .;Le journal a dit qui le cadeau que nous avons donné à Simon avait été importé d'Italie pendant mes vacances .;Notre voisin a dit ce que l'argument qui concernait la garde des enfants a déchiré leur mariage hier .;Mon ami m'a dit qui une proposition qu'il présentera au conseil d'administration suggérait d'augmenter les avantages sociaux des employés hier soir .;Elle ne peut pas croire ce qu'une conférence qu'a popularisé l'évolution des cellules a eu lieu en ville au printemps dernier .
Groupe8;Je sais ce qu'une indication qu'a signalé nous a amenés à recommander un traitement hier soir.;Je me souviens qui le cadeau que nous avons acheté a côté beaucoup d'argent à la dernière minute .;Le journal a rapporté qui le roman qu'a provoqué a reçu des critiques favorables dans la presse .;Je sais qui le tableau qu'a représenté a atteint un prix élevé lors d'une vente aux enchères l'année dernière .;Vous vous souvenez ce que les instructions qu'ont montré comment faire fonctionner sont tombées dans le four à notre grand regret .;Elle m'a dit ce qu'une allergie qu'est causée par l'amène à éviter de sortir au restaurant depuis qu'il était jeune .;Elle sait qui la livraison qu'a choqué est arrivée vers midi mardi dernier .;Nous nous souvenons tous qui le colis que Sarah a décrit à s'est perdu dans le courrier pendant la ruée vers les vacances .;Mon ami m'a rapporté qui la symphonie qu'était dédiée à a ému ma mère aux larmes hier soir .;J'ai une idée qui la pièce qu'a ravi m'a bouleversé hier soir. ;Elle peut deviner ce qu'un avant-propos qu'a présenté a affirmé qu'Elvis est toujours en vie pendant le week-end .;Le journal a rapporté ce qu'un mélange qu'incluait était utilisé pour la vinaigrette à chaque fois qu'elle cuisinait. ;Nous rappelons ce qu'une critique que visait a trouvé un soutien en ligne en fin d'après-midi .;Je me souviens qui une diatribe qu'a critiqué a été publiée dans le journal local hier soir .;Notre ami a deviné qui une photo montrant est apparue dans le journal hier après-midi .?;Le maire m'a dit qui une photo qu'a choqué avait été prise par le correspondant de guerre deux jours après la bataille .;Mon ami se souvient ce qu'une description qui se moquait n'avait pas été appréciée par l'évÍque il y a plus d'un an .;Le journal a dit qui le cadeau que nous avons donné avait été importé d'Italie pendant mes vacances .;Notre voisin a dit ce que l'argument qui concernait a déchiré leur mariage hier .;Mon ami m'a dit qui une proposition qu'il présentera suggérait d'augmenter les avantages sociaux des employés hier soir .;Elle ne peut pas croire ce qu'une conférence qu'a popularisé a eu lieu en ville au printemps dernier .
