numero;variable;langue;phrase;;;;;;;;;;
1;1;français;Je;sais;que ;tes larmes;ont signalé;une indication ;;;;la nuit dernière .;
1;2;français;Je;sais;que ;tes larmes;ont signalé;;;;;la nuit dernière .;
1;3;français;Je;sais;ce que;tes larmes;ont signalé;une indication ;;;;la nuit dernière .;
1;4;français;Je;sais;ce que;tes larmes;ont signalé;;;;;la nuit dernière .;
1;5;français;Je;sais;que ;tes larmes;ont signalé;une indication;qui;a signalé ;une dépression ;la nuit dernière .;
1;6;français;Je;sais;que ;tes larmes;ont signalé;une indication;qui;a signalé;;la nuit dernière .;
1;7;français;Je;sais;ce que ;tes larmes;ont signalé;une indication;qui;a signalé ;une dépression ;la nuit dernière .;
1;8;français;Je;sais;ce que ;tes larmes;ont signalé;une indication;qui;a signalé;;la nuit dernière .;
2;1;français;Je;me souviens;que ;nous;avons tous contribué pour acheter;le cadeau ;;;;à la dernière minute .;
2;2;français;Je;me souviens;que ;nous;avons tous contribué pour acheter;;;;;à la dernière minute .;
2;3;français;Je;me souviens;ce que ;nous;avons tous contribué pour acheter;le cadeau ;;;;à la dernière minute .;
2;4;français;Je;me souviens;ce que ;nous;avons tous contribué pour acheter;;;;;à la dernière minute .;
2;5;français;Je;me souviens;que ;nous;avons tous contribué pour acheter;le cadeau;que;nous avons offert;à Mary ;à la dernière minute .;
2;6;français;Je;me souviens;que ;nous;avons tous contribué pour acheter;le cadeau;que;nous avons offert;;à la dernière minute .;
2;7;français;Je;me souviens;à qui;nous;avons tous contribué pour acheter;le cadeau;que;nous avons offert;à Mary ;à la dernière minute .;
2;8;français;Je;me souviens;à qui;nous;avons tous contribué pour acheter;le cadeau;que;nous avons offert;;à la dernière minute .;
3;1;français;Le journal;a rapporté;que ;les critiques;ont revu;le roman ;;;;dans la presse .;
3;2;français;Le journal;a rapporté;que ;les critiques;ont revu;;;;;dans la presse .;
3;3;français;Le journal;a rapporté;ce que ;les critiques;ont revu;le roman;;;;dans la presse .;
3;4;français;Le journal;a rapporté;ce que ;les critiques;ont revu;;;;;dans la presse .;
3;5;français;Le journal;a rapporté;que ;les critiques;ont revu;le roman;qui ;a provoqué;le célèbre auteur;dans la presse .;
3;6;français;Le journal;a rapporté;que ;les critiques;ont revu;le roman;qui ;a provoqué;;dans la presse .;
3;7;français;Le journal;a rapporté;celui qui ;les critiques;ont revu;le roman;qui ;a provoqué;le célèbre auteur;dans la presse .;
3;8;français;Le journal;a rapporté;celui qui ;les critiques;ont revu;le roman;qui ;a provoqué;;dans la presse .;
4;1;français;Je;sais;que ;la famille;a acheté;le tableau;;;;l'année dernière .;
4;2;français;Je;sais;que ;la famille;a acheté;;;;;l'année dernière .;
4;3;français;Je;sais;ce que ;la famille;a acheté;le tableau;;;;l'année dernière .;
4;4;français;Je;sais;ce que ;la famille;a acheté;;;;;l'année dernière .;
4;5;français;Je;sais;que;la famille;a acheté;le tableau;qui ;représente;Monet;l'année dernière .;
4;6;français;Je;sais;que ;la famille;a acheté;le tableau;qui ;représente;;l'année dernière .;
4;7;français;Je;sais;ce qui;la famille;a acheté;le tableau;qui ;représente;Monet;l'année dernière .;
4;8;français;Je;sais;ce qui;la famille;a acheté;le tableau;qui ;représente;;l'année dernière .;
5;1;français;Vous;vous souvenez;que ;l'espion;a vendu;les instructions ;;;;à notre grand regret .;
5;2;français;Vous;vous souvenez;que ;l'espion;a vendu;;;;;à notre grand regret .;
5;3;français;Vous;vous souvenez;ce que ;l'espion;a vendu;les instructions ;;;;à notre grand regret .;
5;4;français;Vous;vous souvenez;ce que ;l'espion;a vendu;;;;;à notre grand regret .;
5;5;français;Vous;vous souvenez;que ;l'espion;a vendu;les instructions;qui ;montraient comment utiliser;le sous-marin;à notre grand regret .;
5;6;français;Vous;vous souvenez;que;l'espion;a vendu;les instructions;qui ;montraient comment utiliser;;à notre grand regret .;
5;7;français;Vous;vous souvenez;ce que ;l'espion;a vendu;les instructions;qui ;montraient comment utiliser;le sous-marin;à notre grand regret .;
5;8;français;Vous;vous souvenez;ce que ;l'espion;a vendu;les instructions;qui ;montraient comment utiliser;;à notre grand regret .;
6;1;français;Elle;m'a dit;qu';il;a;une allergie ;;;;depuis qu'il était jeune .;
6;2;français;Elle;m'a dit;qu';il;a;;;;;depuis qu'il était jeune .;
6;3;français;Elle;m'a dit;ce qu';il;a;une allergie ;;;;depuis qu'il était jeune .;
6;4;français;Elle;m'a dit;ce qu';il;a;;;;;depuis qu'il était jeune .;
6;5;français;Elle;m'a dit;qu';il;a;une allergie ;qui ;est causée ;les cacahuètes;depuis qu'il était jeune .;
6;6;français;Elle;m'a dit;qu';il;a;une allergie ;qui ;est causée ;;depuis qu'il était jeune .;
6;7;français;Elle;m'a dit;ce qu';il;a;une allergie ;qui ;est causée ;les cacahuètes;depuis qu'il était jeune .;
6;8;français;Elle;m'a dit;ce qu';il;a;une allergie ;qui ;est causée ;;depuis qu'il était jeune .;
7;1;français;Elle;sait;que ;le portier;a accepté;la livraison;;;;mardi dernier .;
7;2;français;Elle;sait;que ;le portier;a accepté;;;;;mardi dernier .;
7;3;français;Elle;sait;ce que ;le portier;a accepté;la livraison;;;;mardi dernier .;
7;4;français;Elle;sait;ce que ;le portier;a accepté;;;;;mardi dernier .;
7;5;français;Elle;sait;que;le portier;a accepté;la livraison;qui;a choqué;Sarah;mardi dernier .;
7;6;français;Elle;sait;que;le portier;a accepté;la livraison;qui;a choqué;;mardi dernier .;
7;7;français;Elle;sait;qui;le portier;a accepté;la livraison;qui;a choqué;Sarah;mardi dernier .;
7;8;français;Elle;sait;qui;le portier;a accepté;la livraison;qui;a choqué;;mardi dernier .;
8;1;français;Nous;nous souvenons tous ;que ;le facteur;a perdu;le colis;;;;dans la ruée des vacances .;
8;2;français;Nous;nous souvenons tous ;que ;le facteur;a perdu;;;;;dans la ruée des vacances .;
8;3;français;Nous;nous souvenons tous ;ce que ;le facteur;a perdu;le colis;;;;dans la ruée des vacances .;
8;4;français;Nous;nous souvenons tous ;ce que ;le facteur;a perdu;;;;;dans la ruée des vacances .;
8;5;français;Nous;nous souvenons tous ;que;le facteur;a perdu;le colis;que;Sarah a décrit ;à Robert ;dans la ruée des vacances .;
8;6;français;Nous;nous souvenons tous ;que;le facteur;a perdu;le colis;que;Sarah a décrit ;;dans la ruée des vacances .;
8;7;français;Nous;nous souvenons tous ;à qui;le facteur;a perdu;le colis;que;Sarah a décrit ;à Robert ;dans la ruée des vacances .;
8;8;français;Nous;nous souvenons tous ;à qui;le facteur;a perdu;le colis;que;Sarah a décrit ;;dans la ruée des vacances .;
9;1;français;Mon ami;m'a rapporté;que ;nous;avons écouté;la symphonie ;;;;hier soir .;
9;2;français;Mon ami;m'a rapporté;que ;nous;avons écouté;;;;;hier soir .;
9;3;français;Mon ami;m'a rapporté;ce que ;nous;avons écouté;la symphonie;;;;hier soir .;
9;4;français;Mon ami;m'a rapporté;ce que ;nous;avons écouté;;;;;hier soir .;
9;5;français;Mon ami;m'a rapporté;que;nous;avons écouté;la symphonie;qui;était dédiée ;à Mozart ;hier soir .;
9;6;français;Mon ami;m'a rapporté;que;nous;avons écouté;la symphonie;qui;était dédiée ;;hier soir .;
9;7;français;Mon ami;m'a rapporté;à qui;nous;avons écouté;la symphonie;qui;était dédiée ;à Mozart ;hier soir .;
9;8;français;Mon ami;m'a rapporté;à qui;nous;avons écouté;la symphonie;qui;était dédiée ;;hier soir .;
10;1;français;J';ai une idée à propos;que ;j';ai vu;la pièce;;;;hier soir .;
10;2;français;J';ai une idée à propos;que ;j';ai vu;;;;;hier soir .;
10;3;français;J';ai une idée à propos;de ce que ;j';ai vu;la pièce;;;;hier soir .;
10;4;français;J';ai une idée à propos;de ce que ;j';ai vu;;;;;hier soir .;
10;5;français;J';ai une idée à propos;que ;j';ai vu;la pièce ce qui a ravi le comédien amateur hier soir .;ce qui ;a ravi;le comédien amateur;hier soir .;
10;6;français;J';ai une idée à propos;que ;j';ai vu;la pièce ce qui a ravi hier soir .;ce qui ;a ravi;;hier soir .;
10;7;français;J';ai une idée à propos;de qui ;j';ai vu;la pièce ce qui a ravi le comédien amateur hier soir .;ce qui ;a ravi;le comédien amateur;hier soir .;
10;8;français;J';ai une idée à propos;de qui;j';ai vu;la pièce ce qui a ravi hier soir .;ce qui ;a ravi;;hier soir .;
11;1;français;Elle;peut deviner;que ;mon ami;a écrit;un avant-propos ;;;;pendant le week-end .;
11;2;français;Elle;peut deviner;que ;mon ami;a écrit;;;;;pendant le week-end .;
11;3;français;Elle;peut deviner;ce que ;mon ami;a écrit;un avant-propos ;;;;pendant le week-end .;
11;4;français;Elle;peut deviner;ce que ;mon ami;a écrit;;;;;pendant le week-end .;
11;5;français;Elle;peut deviner;que ;mon ami;a écrit;un avant-propos ;qui;présentait;le nouveau manuscrit;pendant le week-end .;
11;6;français;Elle;peut deviner;que ;mon ami;a écrit;un avant-propos ;qui;présentait;;pendant le week-end .;
11;7;français;Elle;peut deviner;ce que ;mon ami;a écrit;un avant-propos ;qui;présentait;le nouveau manuscrit;pendant le week-end .;
11;8;français;Elle;peut deviner;ce que ;mon ami;a écrit;un avant-propos ;qui;présentait;;pendant le week-end .;
12;1;français;Le journal;a rapporté;qu';elle;préparait ;la vinaigrette à partir d'un mélange;;;;à chaque fois qu'elle cuisinait .;
12;2;français;Le journal;a rapporté;qu';elle;préparait ;;;;;à chaque fois qu'elle cuisinait .;
12;3;français;Le journal;a rapporté;ce qu';elle;préparait ;la vinaigrette à partir d'un mélange;;;;à chaque fois qu'elle cuisinait .;
12;4;français;Le journal;a rapporté;ce qu';elle;préparait ;;;;;à chaque fois qu'elle cuisinait .;
12;5;français;Le journal;a rapporté;qu';elle;préparait ;la vinaigrette à partir d'un mélange;qui;incluait;de l'huile et du vinaigre;à chaque fois qu'elle cuisinait .;
12;6;français;Le journal;a rapporté;qu';elle;préparait ;;qui;incluait;;à chaque fois qu'elle cuisinait .;
12;7;français;Le journal;a rapporté;ce qui;elle;préparait ;la vinaigrette à partir d'un mélange;qui;incluait;de l'huile et du vinaigre;à chaque fois qu'elle cuisinait .;
12;8;français;Le journal;a rapporté;ce qui;elle;préparait ;;qui;incluait;;à chaque fois qu'elle cuisinait .;
13;1;français;Nous;rappelons;que ;le blogueur;a rédigé;une critique ;;;;en fin d'après-midi .;
13;2;français;Nous;rappelons;que ;le blogueur;a rédigé;;;;;en fin d'après-midi .;
13;3;français;Nous;rappelons;ce que ;le blogueur;a rédigé;une critique;;;;en fin d'après-midi .;
13;4;français;Nous;rappelons;ce que ;le blogueur;a rédigé;;;;;en fin d'après-midi .;
13;5;français;Nous;rappelons;que ;le blogueur;a rédigé;une critique;qui;visait;l'industrie des combustibles fossiles;en fin d'après-midi .;
13;6;français;Nous;rappelons;que ;le blogueur;a rédigé;une critique;qui;visait;;en fin d'après-midi .;
13;7;français;Nous;rappelons;ce que ;le blogueur;a rédigé;une critique;qui;visait;l'industrie des combustibles fossiles;en fin d'après-midi .;
13;8;français;Nous;rappelons;ce que ;le blogueur;a rédigé;une critique;qui;visait;;en fin d'après-midi .;
14;1;français;Je;me souviens;que ;le politicien;a écrit;une diatribe;;;;hier soir .;
14;2;français;Je;me souviens;que ;le politicien;a écrit;;;;;hier soir .;
14;3;français;Je;me souviens;ce que ;le politicien;a écrit;une diatribe;;;;hier soir .;
14;4;français;Je;me souviens;ce que ;le politicien;a écrit;;;;;hier soir .;
14;5;français;Je;me souviens;que;le politicien;a écrit;une diatribe;qui;a critiqué;le maire;hier soir .;
14;6;français;Je;me souviens;que;le politicien;a écrit;une diatribe;qui;a critiqué;;hier soir .;
14;7;français;Je;me souviens;ce qui;le politicien;a écrit;une diatribe;qui;a critiqué;le maire;hier soir .;
14;8;français;Je;me souviens;ce qui;le politicien;a écrit;une diatribe;qui;a critiqué;;hier soir .;
15;1;français;Notre ami;a deviné;que ;nous;avons vu;une photo ;;;;hier après-midi .;
15;2;français;Notre ami;a deviné;que ;nous;avons vu;;;;;hier après-midi .;
15;3;français;Notre ami;a deviné;ce que ;nous;avons vu;une photo;;;;hier après-midi .;
15;4;français;Notre ami;a deviné;ce que ;nous;avons vu;;;;;hier après-midi .;
15;5;français;Notre ami;a deviné;que;nous;avons vu;une photo;qui;montrait;le condamné;hier après-midi .;
15;6;français;Notre ami;a deviné;que;nous;avons vu;une photo;qui;montrait;;hier après-midi .;
15;7;français;Notre ami;a deviné;ce qui;nous;avons vu;une photo;qui;montrait;le condamné;hier après-midi .;
15;8;français;Notre ami;a deviné;ce qui;nous;avons vu;une photo;qui;montrait;;hier après-midi .;
16;1;français;Le maire;m'a dit;que ;les journaux ;ont imprimé ;une photo;;;;deux jours après la bataille .;
16;2;français;Le maire;m'a dit;que ;les journaux ;ont imprimé ;;;;;deux jours après la bataille .;
16;3;français;Le maire;m'a dit;ce que ;les journaux ;ont imprimé ;une photo;;;;deux jours après la bataille .;
16;4;français;Le maire;m'a dit;ce que ;les journaux ;ont imprimé ;;;;;deux jours après la bataille .;
16;5;français;Le maire;m'a dit;que;les journaux;ont imprimé;une photo;qui;a choqué;le public;deux jours après la bataille .;
16;6;français;Le maire;m'a dit;que;les journaux;ont imprimé;une photo;qui;a choqué;;deux jours après la bataille .;
16;7;français;Le maire;m'a dit;ce qui;les journaux;ont imprimé;une photo;qui;a choqué;le public;deux jours après la bataille .;
16;8;français;Le maire;m'a dit;ce qui;les journaux;ont imprimé;une photo;qui;a choqué;;deux jours après la bataille .;
17;1;français;Mon ami;se souvient;que ;le moine;a rédigé;une description;;;;deux jours après la bataille .;
17;2;français;Mon ami;se souvient;que ;le moine;a rédigé;;;;;il y a plus d'un an .;
17;3;français;Mon ami;se souvient;ce que ;le moine;a rédigé;une description;;;;il y a plus d'un an .;
17;4;français;Mon ami;se souvient;ce que ;le moine;a rédigé;;;;;il y a plus d'un an .;
17;5;français;Mon ami;se souvient;que ;le moine;a rédigé;une description;qui;se moquait;de la vie de l'abbaye;il y a plus d'un an .;
17;6;français;Mon ami;se souvient;que ;le moine;a rédigé;une description;qui;se moquait;;il y a plus d'un an .;
17;7;français;Mon ami;se souvient;de ce que ;le moine;a rédigé;une description;qui;se moquait;de la vie de l'abbaye;il y a plus d'un an .;
17;8;français;Mon ami;se souvient;de ce que ;le moine;a rédigé;une description;qui;se moquait;;il y a plus d'un an .;
18;1;français;Le journal;a dit;que ;j';ai choisi;le cadeau ;;;;pendant mes vacances .;
18;2;français;Le journal;a dit;que ;j';ai choisi;;;;;pendant mes vacances .;
18;3;français;Le journal;a dit;ce que ;j';ai choisi;le cadeau ;.;;;pendant mes vacances .;
18;4;français;Le journal;a dit;ce que;j';ai choisi;;;;;pendant mes vacances .;
18;5;français;Le journal;a dit;que;j';ai choisi;le cadeau;que;nous avons donné;à Simon;pendant mes vacances .;
18;6;français;Le journal;a dit;que;j';ai choisi;le cadeau;que;nous avons donné;;pendant mes vacances .;
18;7;français;Le journal;a dit;à qui;j';ai choisi;le cadeau;que;nous avons donné;à Simon;pendant mes vacances .;
18;8;français;Le journal;a dit;à qui;j';ai choisi;le cadeau;que;nous avons donné;;pendant mes vacances .;
19;1;français;Notre voisine;a dit;qu';elle;a gagné;l'argument ;;;;hier .;
19;2;français;Notre voisine;a dit;qu';elle;a gagné;;;;;hier .;
19;3;français;Notre voisine;a dit;ce qu';elle;a gagné;l'argument ;;;;hier .;
19;4;français;Notre voisine;a dit;ce qu';elle;a gagné;;;;;hier .;
19;5;français;Notre voisine;a dit;qu';elle;a gagné;l'argument ;qui;concernait;la garde des enfants;hier .;
19;6;français;Notre voisine;a dit;qu';elle;a gagné;l'argument ;qui;concernait;;hier .;
19;7;français;Notre voisine;a dit;ce qui;elle;a gagné;l'argument ;qui;concernait;la garde des enfants;hier .;
19;8;français;Notre voisine;a dit;ce qui;elle;a gagné;l'argument ;qui;concernait;;hier .;
20;1;français;Mon ami;m'a dit;qu';il;a écrit;une proposition;;;;hier soir .;
20;2;français;Mon ami;m'a dit;qu';il;a écrit;;;;;hier soir .;
20;3;français;Mon ami;m'a dit;ce qu';il;a écrit;une proposition;;;;hier soir .;
20;4;français;Mon ami;m'a dit;ce qu';il;a écrit;;;;;hier soir .;
20;5;français;Mon ami;m'a dit;qu';il;a écrit;une proposition;qu';il remettra ;au conseil d'administration;hier soir .;
20;6;français;Mon ami;m'a dit;qu';il;a écrit;une proposition;qu';il remettra ;;hier soir .;
20;7;français;Mon ami;m'a dit;à qui;il;a écrit;une proposition;qu';il remettra ;au conseil d'administration;hier soir .;
20;8;français;Mon ami;m'a dit;à qui;il;a écrit;une proposition;qu';il remettra ;;hier soir .;
21;1;français;Elle;ne peut pas croire;que ;nous;avons assisté ;à une conférence;;;;au printemps dernier .;
21;2;français;Elle;ne peut pas croire;que ;nous;avons assisté ;;;;;au printemps dernier .;
21;3;français;Elle;ne peut pas croire;à ce que ;nous;avons assisté ;à une conférence;;;;au printemps dernier .;
21;4;français;Elle;ne peut pas croire;à ce que ;nous;avons assisté ;;;;;au printemps dernier .;
21;5;français;Elle;ne peut pas croire;que ;nous;avons assisté ;à une conférence;qui;a popularisé;l'évolution des cellules ;au printemps dernier .;
21;6;français;Elle;ne peut pas croire;que ;nous;avons assisté ;à une conférence;qui;a popularisé;;au printemps dernier .;
21;7;français;Elle;ne peut pas croire;ce que ;nous;avons assisté ;à une conférence;qui;a popularisé;l'évolution des cellules ;au printemps dernier .;
21;8;français;Elle;ne peut pas croire;ce que ;nous;avons assisté ;à une conférence;qui;a popularisé;;au printemps dernier .;